matching_rule,noise_std,matched_photon_scale,gaussian_ranking,poisson_ranking,rankings_differ,first_diverging_pair,significant_after_bootstrap_check
matched_snr,0.03,1000,"heydemann,halir_flusser,fitzgibbon,koning_wimmer_witkovsky,kasa,taubin,raw_atan2","heydemann,halir_flusser,fitzgibbon,koning_wimmer_witkovsky,kasa,taubin,raw_atan2",False,,False
matched_fisher_information,0.03,500,"heydemann,halir_flusser,fitzgibbon,koning_wimmer_witkovsky,kasa,taubin,raw_atan2","heydemann,fitzgibbon,halir_flusser,koning_wimmer_witkovsky,kasa,taubin,raw_atan2",True,halir_flusser<->fitzgibbon,False
matched_sigma,0.04,500,"heydemann,fitzgibbon,halir_flusser,koning_wimmer_witkovsky,kasa,taubin,raw_atan2","heydemann,fitzgibbon,halir_flusser,koning_wimmer_witkovsky,kasa,taubin,raw_atan2",False,,False
matched_snr,0.04,1000,"heydemann,fitzgibbon,halir_flusser,koning_wimmer_witkovsky,kasa,taubin,raw_atan2","heydemann,halir_flusser,fitzgibbon,koning_wimmer_witkovsky,kasa,taubin,raw_atan2",True,fitzgibbon<->halir_flusser,False
matched_fisher_information,0.04,500,"heydemann,fitzgibbon,halir_flusser,koning_wimmer_witkovsky,kasa,taubin,raw_atan2","heydemann,fitzgibbon,halir_flusser,koning_wimmer_witkovsky,kasa,taubin,raw_atan2",False,,False
matched_sigma,0.05,500,"heydemann,fitzgibbon,halir_flusser,koning_wimmer_witkovsky,kasa,taubin,raw_atan2","heydemann,fitzgibbon,halir_flusser,koning_wimmer_witkovsky,kasa,taubin,raw_atan2",False,,False
matched_snr,0.05,1000,"heydemann,fitzgibbon,halir_flusser,koning_wimmer_witkovsky,kasa,taubin,raw_atan2","heydemann,halir_flusser,fitzgibbon,koning_wimmer_witkovsky,kasa,taubin,raw_atan2",True,fitzgibbon<->halir_flusser,False
matched_fisher_information,0.05,100,"heydemann,fitzgibbon,halir_flusser,koning_wimmer_witkovsky,kasa,taubin,raw_atan2","heydemann,fitzgibbon,halir_flusser,koning_wimmer_witkovsky,raw_atan2,kasa,taubin",True,kasa<->raw_atan2,False
matched_sigma,0.06,500,"heydemann,fitzgibbon,halir_flusser,koning_wimmer_witkovsky,kasa,taubin,raw_atan2","heydemann,fitzgibbon,halir_flusser,koning_wimmer_witkovsky,kasa,taubin,raw_atan2",False,,False
matched_snr,0.06,500,"heydemann,fitzgibbon,halir_flusser,koning_wimmer_witkovsky,kasa,taubin,raw_atan2","heydemann,fitzgibbon,halir_flusser,koning_wimmer_witkovsky,kasa,taubin,raw_atan2",False,,False
matched_fisher_information,0.06,100,"heydemann,fitzgibbon,halir_flusser,koning_wimmer_witkovsky,kasa,taubin,raw_atan2","heydemann,fitzgibbon,halir_flusser,koning_wimmer_witkovsky,raw_atan2,kasa,taubin",True,kasa<->raw_atan2,False
matched_sigma,0.08,100,"heydemann,halir_flusser,fitzgibbon,koning_wimmer_witkovsky,raw_atan2,kasa,taubin","heydemann,fitzgibbon,halir_flusser,koning_wimmer_witkovsky,raw_atan2,kasa,taubin",True,halir_flusser<->fitzgibbon,False
matched_snr,0.08,500,"heydemann,halir_flusser,fitzgibbon,koning_wimmer_witkovsky,raw_atan2,kasa,taubin","heydemann,fitzgibbon,halir_flusser,koning_wimmer_witkovsky,kasa,taubin,raw_atan2",True,halir_flusser<->fitzgibbon,False
matched_fisher_information,0.08,100,"heydemann,halir_flusser,fitzgibbon,koning_wimmer_witkovsky,raw_atan2,kasa,taubin","heydemann,fitzgibbon,halir_flusser,koning_wimmer_witkovsky,raw_atan2,kasa,taubin",True,halir_flusser<->fitzgibbon,False
matched_sigma,0.1,100,"heydemann,fitzgibbon,halir_flusser,koning_wimmer_witkovsky,kasa,raw_atan2,taubin","heydemann,fitzgibbon,halir_flusser,koning_wimmer_witkovsky,raw_atan2,kasa,taubin",True,kasa<->raw_atan2,False
matched_snr,0.1,100,"heydemann,fitzgibbon,halir_flusser,koning_wimmer_witkovsky,kasa,raw_atan2,taubin","heydemann,fitzgibbon,halir_flusser,koning_wimmer_witkovsky,raw_atan2,kasa,taubin",True,kasa<->raw_atan2,False
matched_fisher_information,0.1,100,"heydemann,fitzgibbon,halir_flusser,koning_wimmer_witkovsky,kasa,raw_atan2,taubin","heydemann,fitzgibbon,halir_flusser,koning_wimmer_witkovsky,raw_atan2,kasa,taubin",True,kasa<->raw_atan2,False
