method_name,condition_name,n_seeds,n_failed,n_gross_error,failure_rate,gross_error_rate,unusable_rate,convergence_rate,displacement_rmse_mean_m,displacement_rmse_median_m,displacement_rmse_std_m,displacement_rmse_p05_m,displacement_rmse_p95_m,peak_absolute_error_mean_m,phase_rmse_mean_rad,runtime_s_mean
kasa,"grid:n_x_noise:samples_per_fit=100,noise_std=0.005",50,0,0,0.0,0.0,0.0,,3.6177384120467436e-09,3.617202801192162e-09,2.3702062235799118e-11,3.579431327326789e-09,3.6551904375857737e-09,6.461954017906632e-09,0.07184235409542133,2.3543980005342747e-05
koning_wimmer_witkovsky,"grid:n_x_noise:samples_per_fit=100,noise_std=0.005",50,0,0,0.0,0.0,0.0,1.0,2.522387459793587e-10,2.5200877221507573e-10,2.0123604385345423e-11,2.2455295204990754e-10,2.843671286493495e-10,7.122810762458189e-10,0.00500904798558442,0.00025144343995634697
raw_atan2,"grid:n_x_noise:samples_per_fit=100,noise_std=0.005",50,0,0,0.0,0.0,0.0,,3.737583683183802e-09,3.73694448664474e-09,2.4050760557093104e-11,3.7015803174325812e-09,3.776866471506697e-09,6.881970812274813e-09,0.07422228471091852,4.030479940411169e-06
taubin,"grid:n_x_noise:samples_per_fit=100,noise_std=0.005",50,0,0,0.0,0.0,0.0,,3.617753436410544e-09,3.617219651384994e-09,2.370122293486761e-11,3.579449337971776e-09,3.6551983196903726e-09,6.462311312064251e-09,0.0718426524546561,8.892602010746487e-05
fitzgibbon,"grid:n_x_noise:samples_per_fit=100,noise_std=0.01",50,0,0,0.0,0.0,0.0,,4.915521118736954e-10,4.902484672641159e-10,3.289994406724079e-11,4.4087539720684683e-10,5.459061219589962e-10,1.3498905206807e-09,0.009761419112003475,0.0001068166600089171
halir_flusser,"grid:n_x_noise:samples_per_fit=100,noise_std=0.01",50,0,0,0.0,0.0,0.0,,4.915521118737033e-10,4.902484672641405e-10,3.2899944067250815e-11,4.408753972068599e-10,5.45906121959011e-10,1.3498905206806725e-09,0.00976141911200363,7.428903996697045e-05
heydemann,"grid:n_x_noise:samples_per_fit=100,noise_std=0.01",50,0,0,0.0,0.0,0.0,,4.755621150805532e-10,4.70746857383042e-10,3.174432718753812e-11,4.2775261992137766e-10,5.326556160725653e-10,1.3010222178994045e-09,0.009443883989018267,4.109483994398033e-05
kasa,"grid:n_x_noise:samples_per_fit=100,noise_std=0.01",50,0,0,0.0,0.0,0.0,,3.639509966527123e-09,3.6446774804329726e-09,4.009345036927102e-11,3.5819411895496215e-09,3.688702991776417e-09,6.8280703892754934e-09,0.07227470147603314,2.241069994852296e-05
koning_wimmer_witkovsky,"grid:n_x_noise:samples_per_fit=100,noise_std=0.01",50,0,0,0.0,0.0,0.0,1.0,4.920063168751301e-10,4.939690331814113e-10,3.341332155484347e-11,4.379878772315038e-10,5.477860200500281e-10,1.3497399676111092e-09,0.009770438878727437,0.0002607731000171043
raw_atan2,"grid:n_x_noise:samples_per_fit=100,noise_std=0.01",50,0,0,0.0,0.0,0.0,,3.759055462426054e-09,3.764560198978963e-09,4.156535599270987e-11,3.700520352098628e-09,3.812759034796154e-09,7.189962947926352e-09,0.07464867904674002,3.7704999340348877e-06
taubin,"grid:n_x_noise:samples_per_fit=100,noise_std=0.01",50,0,0,0.0,0.0,0.0,,3.639554380633571e-09,3.644710298901151e-09,4.0098063063956735e-11,3.581965570361449e-09,3.6887434818239577e-09,6.828973048856793e-09,0.0722755834673766,8.40304799930891e-05
fitzgibbon,"grid:n_x_noise:samples_per_fit=100,noise_std=0.02",50,0,0,0.0,0.0,0.0,,9.900012917038993e-10,9.919153698088827e-10,6.705263507052353e-11,8.918522469131391e-10,1.068997793325547e-09,2.700735915045373e-09,0.01965980268686078,0.00010501455995836296
halir_flusser,"grid:n_x_noise:samples_per_fit=100,noise_std=0.02",50,0,0,0.0,0.0,0.0,,9.90001291703903e-10,9.919153698088835e-10,6.705263507056597e-11,8.918522469130577e-10,1.068997793325567e-09,2.7007359150454416e-09,0.019659802686860853,7.453629996234667e-05
heydemann,"grid:n_x_noise:samples_per_fit=100,noise_std=0.02",50,0,0,0.0,0.0,0.0,,9.601097728159502e-10,9.604746929716088e-10,6.132313555262569e-11,8.652274489350953e-10,1.0327192962208915e-09,2.6178049300798345e-09,0.019066206124641938,3.573995996703161e-05
kasa,"grid:n_x_noise:samples_per_fit=100,noise_std=0.02",50,0,0,0.0,0.0,0.0,,3.727123158126837e-09,3.72751094032726e-09,1.0145046310073292e-10,3.5581139902291096e-09,3.87504491938988e-09,7.82195289602792e-09,0.07401455583183099,2.1709760021622058e-05
koning_wimmer_witkovsky,"grid:n_x_noise:samples_per_fit=100,noise_std=0.02",50,0,0,0.0,0.0,0.0,1.0,9.913236377848198e-10,9.946306435823086e-10,6.817762680987499e-11,8.899168654144993e-10,1.0822891035640017e-09,2.707608247687353e-09,0.019686062312229448,0.00028452598009607753
raw_atan2,"grid:n_x_noise:samples_per_fit=100,noise_std=0.02",50,0,0,0.0,0.0,0.0,,3.8421804511445295e-09,3.833297499489722e-09,9.888500978537263e-11,3.6888799589923493e-09,3.979180356422218e-09,8.108064879760933e-09,0.07629940505108704,4.867359948548256e-06
taubin,"grid:n_x_noise:samples_per_fit=100,noise_std=0.02",50,0,0,0.0,0.0,0.0,,3.727364974746319e-09,3.727731506875913e-09,1.0139506832719255e-10,3.5582153541984775e-09,3.8753032611004866e-09,7.824315428740714e-09,0.0740193579134699,8.448121991023072e-05
fitzgibbon,"grid:n_x_noise:samples_per_fit=100,noise_std=0.03",50,0,0,0.0,0.0,0.0,,1.477214896080678e-09,1.488755221618526e-09,8.687903329849564e-11,1.3366970088356817e-09,1.6198830664434017e-09,4.068033231332198e-09,0.029335066152341764,0.00010891358000662876
halir_flusser,"grid:n_x_noise:samples_per_fit=100,noise_std=0.03",50,0,0,0.0,0.0,0.0,,1.4772148960806814e-09,1.4887552216185504e-09,8.687903329848442e-11,1.3366970088357473e-09,1.6198830664434632e-09,4.0680332313321535e-09,0.029335066152341837,8.211411994125229e-05
heydemann,"grid:n_x_noise:samples_per_fit=100,noise_std=0.03",50,0,0,0.0,0.0,0.0,,1.4257822122885324e-09,1.4304732577137786e-09,8.439682962481853e-11,1.2970611609564157e-09,1.5601804116260277e-09,3.942166473660879e-09,0.028313697368803133,3.631355999459629e-05
kasa,"grid:n_x_noise:samples_per_fit=100,noise_std=0.03",50,0,0,0.0,0.0,0.0,,3.9226349059007575e-09,3.91329209668884e-09,1.457884019355182e-10,3.6857364838141684e-09,4.144204369688431e-09,8.728753833692424e-09,0.07789709862890462,2.3203799919429003e-05
koning_wimmer_witkovsky,"grid:n_x_noise:samples_per_fit=100,noise_std=0.03",50,0,0,0.0,0.0,0.0,1.0,1.4933774508073629e-09,1.4980774426671041e-09,9.271330673196798e-11,1.3432090854768385e-09,1.6671817101485804e-09,4.098099861886866e-09,0.02965602799300293,0.000318795860021055
raw_atan2,"grid:n_x_noise:samples_per_fit=100,noise_std=0.03",50,0,0,0.0,0.0,0.0,,4.030518108243956e-09,4.033819322595931e-09,1.4876220852456777e-10,3.817155591185097e-09,4.280591971602503e-09,8.887388556746051e-09,0.08003948216826703,3.899260009347927e-06
taubin,"grid:n_x_noise:samples_per_fit=100,noise_std=0.03",50,0,0,0.0,0.0,0.0,,3.923167314773914e-09,3.913857605517209e-09,1.4585689244371621e-10,3.6858953352377576e-09,4.144377055717483e-09,8.732320212527589e-09,0.07790767139631682,8.592685995608917e-05
fitzgibbon,"grid:n_x_noise:samples_per_fit=100,noise_std=0.04",50,0,0,0.0,0.0,0.0,,2.0189573094108514e-09,2.0313951929173876e-09,1.257871706586526e-10,1.8272381803644158e-09,2.2198511578397096e-09,5.455361490640526e-09,0.04009318237140673,0.00011205198004972772
halir_flusser,"grid:n_x_noise:samples_per_fit=100,noise_std=0.04",50,0,0,0.0,0.0,0.0,,2.018957309410853e-09,2.031395192917453e-09,1.2578717065865166e-10,1.8272381803644228e-09,2.219851157839775e-09,5.455361490640439e-09,0.040093182371406764,8.045262005907716e-05
heydemann,"grid:n_x_noise:samples_per_fit=100,noise_std=0.04",50,0,0,0.0,0.0,0.0,,1.949369204098292e-09,1.937823432232329e-09,1.126739227004066e-10,1.791532302077824e-09,2.1269761741759855e-09,5.346093144467887e-09,0.038711276679705295,3.6164879948046294e-05
kasa,"grid:n_x_noise:samples_per_fit=100,noise_std=0.04",50,0,0,0.0,0.0,0.0,,4.0996579127312605e-09,4.097071069802837e-09,1.8622926046485488e-10,3.832544434261169e-09,4.4444371272985355e-09,9.694445308232036e-09,0.08141248534050438,2.1675499847333414e-05
koning_wimmer_witkovsky,"grid:n_x_noise:samples_per_fit=100,noise_std=0.04",50,0,0,0.0,0.0,0.0,1.0,2.03035689369497e-09,1.9939450344347325e-09,1.4245699659789826e-10,1.8332749624032564e-09,2.2811546205908903e-09,5.466532949250859e-09,0.04031955942729146,0.0003506465200916864
raw_atan2,"grid:n_x_noise:samples_per_fit=100,noise_std=0.04",50,0,0,0.0,0.0,0.0,,4.2005183609884726e-09,4.183034592195749e-09,1.8530535821338533e-10,3.968531343708473e-09,4.536442945153481e-09,9.870338926105257e-09,0.08341540849652607,3.662060044007376e-06
taubin,"grid:n_x_noise:samples_per_fit=100,noise_std=0.04",50,0,0,0.0,0.0,0.0,,4.100851190750242e-09,4.0990269200529784e-09,1.861692036871209e-10,3.833654581082748e-09,4.444770383629546e-09,9.697859788067938e-09,0.08143618188575168,8.677541993165505e-05
fitzgibbon,"grid:n_x_noise:samples_per_fit=100,noise_std=0.05",50,0,0,0.0,0.0,0.0,,2.508658853441865e-09,2.5216404215119424e-09,1.5386432136530765e-10,2.244667610858082e-09,2.768904080915972e-09,7.002877590444783e-09,0.04981785223979744,0.00010668758000974777
halir_flusser,"grid:n_x_noise:samples_per_fit=100,noise_std=0.05",50,0,0,0.0,0.0,0.0,,2.5086588534418724e-09,2.5216404215119714e-09,1.5386432136529286e-10,2.2446676108581583e-09,2.7689040809159753e-09,7.002877590444764e-09,0.04981785223979762,7.758373994875001e-05
heydemann,"grid:n_x_noise:samples_per_fit=100,noise_std=0.05",50,0,0,0.0,0.0,0.0,,2.437467042653552e-09,2.4446970551834263e-09,1.489746034650993e-10,2.2039428309580465e-09,2.689687681168891e-09,6.769416665512679e-09,0.048404099586394675,3.7471379928319946e-05
kasa,"grid:n_x_noise:samples_per_fit=100,noise_std=0.05",50,0,0,0.0,0.0,0.0,,4.327344528281892e-09,4.322955611654791e-09,1.7583042200517202e-10,4.0323788716762706e-09,4.609554041837267e-09,1.0948661474217247e-08,0.08593396826550177,2.2935419983696193e-05
koning_wimmer_witkovsky,"grid:n_x_noise:samples_per_fit=100,noise_std=0.05",50,0,0,0.0,0.0,0.0,1.0,2.5678399490967945e-09,2.5565376235440153e-09,1.7310253828971275e-10,2.3033675367910453e-09,2.8443452723146385e-09,7.091746024086606e-09,0.05099309178051122,0.000357507559874648
raw_atan2,"grid:n_x_noise:samples_per_fit=100,noise_std=0.05",50,0,0,0.0,0.0,0.0,,4.397432118616347e-09,4.390375549211978e-09,1.6857516104167273e-10,4.12497733852648e-09,4.62870741600148e-09,1.0925408787975821e-08,0.08732579291090341,3.63354001819971e-06
taubin,"grid:n_x_noise:samples_per_fit=100,noise_std=0.05",50,0,0,0.0,0.0,0.0,,4.329519875651693e-09,4.325483959123361e-09,1.7594781217426971e-10,4.034913253447332e-09,4.613761726895031e-09,1.0954743775663399e-08,0.08597716709809325,8.443319999059895e-05
fitzgibbon,"grid:n_x_noise:samples_per_fit=100,noise_std=0.06",50,0,0,0.0,0.0,0.0,,3.0144971414042325e-09,3.008979171383416e-09,2.475265525710318e-10,2.605721926951014e-09,3.4186913954767274e-09,8.461805158782292e-09,0.05986297138876719,0.00010462884003572981
halir_flusser,"grid:n_x_noise:samples_per_fit=100,noise_std=0.06",50,0,0,0.0,0.0,0.0,,3.014497141404232e-09,3.0089791713834293e-09,2.4752655257102283e-10,2.605721926951059e-09,3.4186913954767807e-09,8.461805158782289e-09,0.05986297138876719,8.129652003844967e-05
heydemann,"grid:n_x_noise:samples_per_fit=100,noise_std=0.06",50,0,0,0.0,0.0,0.0,,2.9113357099384273e-09,2.9150267436891664e-09,2.252253586951945e-10,2.5181268730008117e-09,3.3042213771747534e-09,8.07737695151201e-09,0.057814354478357706,3.6280459989939115e-05
kasa,"grid:n_x_noise:samples_per_fit=100,noise_std=0.06",50,0,0,0.0,0.0,0.0,,4.677217525364833e-09,4.678827508665337e-09,2.65005529437953e-10,4.266601771955715e-09,5.100272219031701e-09,1.205268831158678e-08,0.09288187242052837,2.290219998030807e-05
koning_wimmer_witkovsky,"grid:n_x_noise:samples_per_fit=100,noise_std=0.06",50,0,0,0.0,0.0,0.0,1.0,3.1025925220488707e-09,3.0645709562490796e-09,2.955018732943312e-10,2.632654617227842e-09,3.517533126112358e-09,8.671652652854626e-09,0.06161240122851682,0.0003725573600786447
raw_atan2,"grid:n_x_noise:samples_per_fit=100,noise_std=0.06",50,0,0,0.0,0.0,0.0,,4.752314761673915e-09,4.766147444921945e-09,2.7042892451878477e-10,4.309743935304368e-09,5.113538284713082e-09,1.2136624160126127e-08,0.09437318042238373,3.684980019897921e-06
taubin,"grid:n_x_noise:samples_per_fit=100,noise_std=0.06",50,0,0,0.0,0.0,0.0,,4.681546774567822e-09,4.680719516142505e-09,2.656472252580553e-10,4.272705687633702e-09,5.112333371689339e-09,1.206327352664396e-08,0.09296784421251114,8.277219998490182e-05
fitzgibbon,"grid:n_x_noise:samples_per_fit=100,noise_std=0.08",50,0,0,0.0,0.0,0.0,,4.000853838516953e-09,3.980213343321485e-09,3.217122917253609e-10,3.4592243600327133e-09,4.546796025535193e-09,1.1316385578390501e-08,0.0794503984018419,0.00011221988002944271
halir_flusser,"grid:n_x_noise:samples_per_fit=100,noise_std=0.08",50,0,0,0.0,0.0,0.0,,4.000853838516954e-09,3.9802133433215366e-09,3.217122917253574e-10,3.4592243600327087e-09,4.5467960255352264e-09,1.1316385578390498e-08,0.0794503984018419,7.541461998698651e-05
heydemann,"grid:n_x_noise:samples_per_fit=100,noise_std=0.08",50,0,0,0.0,0.0,0.0,,3.8560077238812245e-09,3.848609184450633e-09,3.396074919958838e-10,3.3415880841837277e-09,4.433642360177521e-09,1.0709390184229562e-08,0.07657399201978986,3.5384539987717286e-05
kasa,"grid:n_x_noise:samples_per_fit=100,noise_std=0.08",50,0,0,0.0,0.0,0.0,,5.305629053077702e-09,5.359872061425312e-09,3.439144883226851e-10,4.730045972669651e-09,5.797643100486843e-09,1.4008240792472679e-08,0.10536109516954158,2.214547999756178e-05
koning_wimmer_witkovsky,"grid:n_x_noise:samples_per_fit=100,noise_std=0.08",50,0,0,0.0,0.0,0.0,1.0,4.194378409563852e-09,4.271430315032416e-09,3.6964164046278345e-10,3.5530647857252156e-09,4.6982951198704755e-09,1.1553050307347488e-08,0.08329347912681062,0.0004308340599345684
raw_atan2,"grid:n_x_noise:samples_per_fit=100,noise_std=0.08",50,0,0,0.0,0.0,0.0,,5.3442206524787995e-09,5.415375318494064e-09,3.431550738505585e-10,4.792761887242218e-09,5.888683434055164e-09,1.3857406063315258e-08,0.1061274610682064,3.6664399340224917e-06
taubin,"grid:n_x_noise:samples_per_fit=100,noise_std=0.08",50,0,0,0.0,0.0,0.0,,5.313900203714091e-09,5.366578830238109e-09,3.451071798695754e-10,4.735396644547496e-09,5.808385779642337e-09,1.4020487277953195e-08,0.10552534666180462,8.398062003834638e-05
fitzgibbon,"grid:n_x_noise:samples_per_fit=100,noise_std=0.1",50,0,0,0.0,0.0,0.0,,4.981936801608641e-09,4.946158328780119e-09,3.9107662295335144e-10,4.364672692252042e-09,5.562287260891745e-09,1.3817805323398604e-08,0.09893309770279607,0.00011460944000646123
halir_flusser,"grid:n_x_noise:samples_per_fit=100,noise_std=0.1",50,0,0,0.0,0.0,0.0,,4.981936801608645e-09,4.9461583287801315e-09,3.910766229533521e-10,4.364672692252045e-09,5.5622872608917404e-09,1.3817805323398666e-08,0.09893309770279615,7.51054799548001e-05
heydemann,"grid:n_x_noise:samples_per_fit=100,noise_std=0.1",50,0,0,0.0,0.0,0.0,,4.836438502330944e-09,4.843664158969408e-09,3.819050466368753e-10,4.2994387629717515e-09,5.41634163435726e-09,1.344362245669642e-08,0.09604374000291856,3.557871992597938e-05
kasa,"grid:n_x_noise:samples_per_fit=100,noise_std=0.1",50,0,0,0.0,0.0,0.0,,6.146813027005381e-09,6.218234026522408e-09,4.448238945165275e-10,5.3606434160445656e-09,6.763469190068933e-09,1.6791527137074012e-08,0.12206562989020316,2.2222560019145022e-05
koning_wimmer_witkovsky,"grid:n_x_noise:samples_per_fit=100,noise_std=0.1",50,0,0,0.0,0.0,0.0,1.0,5.338913370215222e-09,5.37094986295866e-09,5.311783395772021e-10,4.530211064089087e-09,6.208907812577967e-09,1.4331799377841584e-08,0.1060220671429865,0.000488736040006188
raw_atan2,"grid:n_x_noise:samples_per_fit=100,noise_std=0.1",50,0,0,0.0,0.0,0.0,,6.173216952198327e-09,6.237117804900766e-09,4.5213284668823554e-10,5.402801565794141e-09,6.815751040198267e-09,1.6794779017813988e-08,0.12258996855905335,3.8009999661881012e-06
taubin,"grid:n_x_noise:samples_per_fit=100,noise_std=0.1",50,0,0,0.0,0.0,0.0,,6.1626285924501466e-09,6.228772612793481e-09,4.462108691508766e-10,5.366627668925375e-09,6.772851767916029e-09,1.6823007916604816e-08,0.12237970109256507,8.99572400157922e-05
fitzgibbon,"grid:n_x_noise:samples_per_fit=1000,noise_std=0.0",50,0,0,0.0,0.0,0.0,,1.709747224949741e-11,1.7137800866358702e-11,3.222768638284603e-13,1.6595082820277155e-11,1.764050953610841e-11,6.794951416072126e-11,0.00033952776999985094,0.00012898872004370786
halir_flusser,"grid:n_x_noise:samples_per_fit=1000,noise_std=0.0",50,0,0,0.0,0.0,0.0,,1.7097472249499217e-11,1.7137800866372e-11,3.2227686382852267e-13,1.6595082820272647e-11,1.7640509536108053e-11,6.794951416070919e-11,0.00033952776999988677,9.684026004833867e-05
heydemann,"grid:n_x_noise:samples_per_fit=1000,noise_std=0.0",50,0,0,0.0,0.0,0.0,,1.7039794172998493e-11,1.7085791870934728e-11,3.25935211100926e-13,1.6499040351063723e-11,1.7591905920144787e-11,6.766835422669145e-11,0.0003383823779555893,5.407776010542875e-05
kasa,"grid:n_x_noise:samples_per_fit=1000,noise_std=0.0",50,0,0,0.0,0.0,0.0,,3.607802363642916e-09,3.6077904899498897e-09,5.749157776446987e-13,3.6068282098575704e-09,3.6087923743457914e-09,6.150892308724514e-09,0.07164504046286015,4.199875993435853e-05
koning_wimmer_witkovsky,"grid:n_x_noise:samples_per_fit=1000,noise_std=0.0",50,0,0,0.0,0.0,0.0,1.0,1.7096580739885384e-11,1.7141995427801967e-11,3.22391842753476e-13,1.6597720523770126e-11,1.764345658729481e-11,6.794228690567769e-11,0.00033951006608045936,0.01687584483996034
raw_atan2,"grid:n_x_noise:samples_per_fit=1000,noise_std=0.0",50,0,0,0.0,0.0,0.0,,3.727848644006744e-09,3.7278475833228045e-09,5.919841277923014e-13,3.7269140613952814e-09,3.728816727426205e-09,6.689815522079363e-09,0.07402896279207495,1.0497720086277696e-05
taubin,"grid:n_x_noise:samples_per_fit=1000,noise_std=0.0",50,0,0,0.0,0.0,0.0,,3.60780237146105e-09,3.6077904988099536e-09,5.749152951318301e-13,3.6068282169058966e-09,3.6087923768207034e-09,6.150889888299204e-09,0.07164504061811547,0.00010145159998501186
fitzgibbon,"grid:n_x_noise:samples_per_fit=1000,noise_std=0.005",50,0,0,0.0,0.0,0.0,,2.416335754143323e-10,2.418016862240533e-10,4.223940819960726e-12,2.3529538422706953e-10,2.480289441735777e-10,8.325099305153258e-10,0.0047984466838325015,0.00013315221996890614
halir_flusser,"grid:n_x_noise:samples_per_fit=1000,noise_std=0.005",50,0,0,0.0,0.0,0.0,,2.4163357541432833e-10,2.4180168622404863e-10,4.223940819959444e-12,2.3529538422710153e-10,2.4802894417359536e-10,8.325099305153168e-10,0.004798446683832422,0.00010493388008399051
heydemann,"grid:n_x_noise:samples_per_fit=1000,noise_std=0.005",50,0,0,0.0,0.0,0.0,,2.4078731819723994e-10,2.409318003140821e-10,4.235715578823988e-12,2.347359717125665e-10,2.468776560216692e-10,8.303547610277761e-10,0.00478164140281945,4.951864002578077e-05
kasa,"grid:n_x_noise:samples_per_fit=1000,noise_std=0.005",50,0,0,0.0,0.0,0.0,,3.6166744358866447e-09,3.6158637981750414e-09,6.435318996673644e-12,3.60654375426044e-09,3.6284024718715094e-09,6.6937845231134415e-09,0.07182122527311942,4.092246012078249e-05
koning_wimmer_witkovsky,"grid:n_x_noise:samples_per_fit=1000,noise_std=0.005",50,0,0,0.0,0.0,0.0,1.0,2.416345340894856e-10,2.417731993384474e-10,4.232470539749402e-12,2.355007426561261e-10,2.482282420895502e-10,8.335827227439244e-10,0.004798465721549434,0.019653203639954882
raw_atan2,"grid:n_x_noise:samples_per_fit=1000,noise_std=0.005",50,0,0,0.0,0.0,0.0,,3.736534303354284e-09,3.736458293325964e-09,6.590252174185144e-12,3.728060796215768e-09,3.749672033685939e-09,7.197966295708675e-09,0.07420144574781336,1.0649539981386623e-05
taubin,"grid:n_x_noise:samples_per_fit=1000,noise_std=0.005",50,0,0,0.0,0.0,0.0,,3.616675464727058e-09,3.6158652437806804e-09,6.435344290497157e-12,3.606545668547799e-09,3.6284026765185882e-09,6.693848098912783e-09,0.0718212457042034,0.00010017141999924206
fitzgibbon,"grid:n_x_noise:samples_per_fit=1000,noise_std=0.01",50,0,0,0.0,0.0,0.0,,4.838943232051087e-10,4.830868579503208e-10,9.124733493637684e-12,4.697126320725956e-10,5.004736961696851e-10,1.6511479657379187e-09,0.009609347982901228,0.00014710662006109487
halir_flusser,"grid:n_x_noise:samples_per_fit=1000,noise_std=0.01",50,0,0,0.0,0.0,0.0,,4.838943232051111e-10,4.830868579503194e-10,9.124733493643318e-12,4.697126320725753e-10,5.004736961697412e-10,1.6511479657378922e-09,0.009609347982901275,0.00010852132003492442
heydemann,"grid:n_x_noise:samples_per_fit=1000,noise_std=0.01",50,0,0,0.0,0.0,0.0,,4.822839089508808e-10,4.815274291398099e-10,8.874389741049216e-12,4.68851377431346e-10,4.969854245828002e-10,1.6482765420592563e-09,0.009577367795857498,6.139523997262585e-05
kasa,"grid:n_x_noise:samples_per_fit=1000,noise_std=0.01",50,0,0,0.0,0.0,0.0,,3.6375650717127077e-09,3.6374720450851075e-09,1.0253303055372041e-11,3.620026580816912e-09,3.654879485373837e-09,7.29479224893327e-09,0.0722360790533974,4.381365995868691e-05
koning_wimmer_witkovsky,"grid:n_x_noise:samples_per_fit=1000,noise_std=0.01",50,0,0,0.0,0.0,0.0,1.0,4.841883626240318e-10,4.83101484274831e-10,9.294325643306986e-12,4.704241442104228e-10,5.024082509731726e-10,1.6481539633868358e-09,0.009615187123725215,0.021941113239936385
raw_atan2,"grid:n_x_noise:samples_per_fit=1000,noise_std=0.01",50,0,0,0.0,0.0,0.0,,3.756793256338627e-09,3.756397841152692e-09,1.0526458811979712e-11,3.737990364977489e-09,3.773088607496521e-09,7.709124279813434e-09,0.07460375534240901,1.1583439954847563e-05
taubin,"grid:n_x_noise:samples_per_fit=1000,noise_std=0.01",50,0,0,0.0,0.0,0.0,,3.637570493264188e-09,3.637479089325801e-09,1.0252619621535609e-11,3.620036864582857e-09,3.654881867548566e-09,7.2948595654705986e-09,0.07223618671652193,0.00011215884003831889
fitzgibbon,"grid:n_x_noise:samples_per_fit=1000,noise_std=0.02",50,0,0,0.0,0.0,0.0,,9.69603018685724e-10,9.715456621829066e-10,2.313135697151649e-11,9.441278471215532e-10,1.0066594767119758e-09,3.32193785093625e-09,0.019254726424788607,0.0001374712400502176
halir_flusser,"grid:n_x_noise:samples_per_fit=1000,noise_std=0.02",50,0,0,0.0,0.0,0.0,,9.696030186857248e-10,9.715456621829074e-10,2.3131356971512853e-11,9.441278471215627e-10,1.0066594767119605e-09,3.3219378509362675e-09,0.019254726424788614,0.00010824216002220055
heydemann,"grid:n_x_noise:samples_per_fit=1000,noise_std=0.02",50,0,0,0.0,0.0,0.0,,9.656249368542025e-10,9.673727070931844e-10,2.3044981287076377e-11,9.40705137381752e-10,1.0022931180089348e-09,3.3053257523535155e-09,0.01917572824111423,5.0330499998381126e-05
