axis,position,swept_value,method_name,n_seeds,failure_rate,gross_error_rate,unusable_rate,displacement_rmse_mean_m,displacement_rmse_ci_low_m,displacement_rmse_ci_high_m,mean_runtime_s,rankable
quadrature_error_rad,baseline,0.0,halir_flusser,50,0.0,0.0,0.0,1.7947303876020003e-11,1.738382127706282e-11,1.849236808889618e-11,,True
quadrature_error_rad,baseline,0.0,heydemann,50,0.0,0.0,0.0,1.6857329794538857e-11,1.6375397613556264e-11,1.7336531775118937e-11,,True
quadrature_error_rad,baseline,0.0,kasa,50,0.0,0.0,0.0,1.6966876287329107e-09,1.6961080765554193e-09,1.6972658390330883e-09,,True
quadrature_error_rad,baseline,0.0,koning_wimmer_witkovsky,50,0.0,0.0,0.0,1.794260013112333e-11,1.7382936545098486e-11,1.8483632876255335e-11,,True
quadrature_error_rad,baseline,0.0,raw_atan2,50,0.0,0.0,0.0,1.949418306078536e-09,1.94892842522996e-09,1.9499177124930328e-09,,True
quadrature_error_rad,baseline,0.0,taubin,50,0.0,0.0,0.0,1.6966877452985351e-09,1.6961081910701166e-09,1.69726595410457e-09,,True
quadrature_error_rad,worst,0.5,fitzgibbon,50,0.0,0.0,0.0,2.005314099998015e-11,1.945455045090006e-11,2.0706360638262924e-11,,True
quadrature_error_rad,worst,0.5,halir_flusser,50,0.0,0.0,0.0,2.0053140999991087e-11,1.9454550450904276e-11,2.0706360638266326e-11,,True
quadrature_error_rad,worst,0.5,heydemann,50,0.0,0.0,0.0,1.8951259072801975e-11,1.840158787696185e-11,1.954031744770918e-11,,True
quadrature_error_rad,worst,0.5,kasa,50,0.0,0.0,0.0,1.6164682326075147e-08,1.6164019027367014e-08,1.6165356431129388e-08,,True
quadrature_error_rad,worst,0.5,koning_wimmer_witkovsky,50,0.0,0.0,0.0,1.995205780840265e-11,1.9374087390277682e-11,2.0577145543278023e-11,,True
quadrature_error_rad,worst,0.5,raw_atan2,50,0.0,0.0,0.0,1.618888163863831e-08,1.618823604040672e-08,1.6189539450998252e-08,,True
quadrature_error_rad,worst,0.5,taubin,50,0.0,0.0,0.0,1.6164682925969523e-08,1.6164019692976833e-08,1.616535706238039e-08,,True
dc_offset,baseline,0.0,fitzgibbon,50,0.0,0.0,0.0,1.7855954138624812e-11,1.7315127000402032e-11,1.840788460944879e-11,,True
dc_offset,baseline,0.0,halir_flusser,50,0.0,0.0,0.0,1.78559541386093e-11,1.7315127000380797e-11,1.8407884609431007e-11,,True
dc_offset,baseline,0.0,heydemann,50,0.0,0.0,0.0,1.6919907955339284e-11,1.6446637205699555e-11,1.7400805403395727e-11,,True
dc_offset,baseline,0.0,kasa,50,0.0,0.0,0.0,3.6076830583812043e-09,3.60715125901403e-09,3.6082007230751046e-09,,True
dc_offset,baseline,0.0,koning_wimmer_witkovsky,50,0.0,0.0,0.0,1.7836685314975022e-11,1.730178566808173e-11,1.8380173411575467e-11,,True
dc_offset,baseline,0.0,raw_atan2,50,0.0,0.0,0.0,3.6076815103050704e-09,3.6071495337601923e-09,3.6081993188200884e-09,,True
dc_offset,baseline,0.0,taubin,50,0.0,0.0,0.0,3.6076831780616484e-09,3.607151393053868e-09,3.6082008288070697e-09,,True
dc_offset,worst,0.2,fitzgibbon,50,0.0,0.0,0.0,1.952378969972129e-11,1.9013682968437758e-11,2.0024469203473655e-11,,True
dc_offset,worst,0.2,halir_flusser,50,0.0,0.0,0.0,1.952378969970464e-11,1.9013682968434805e-11,2.0024469203471823e-11,,True
dc_offset,worst,0.2,heydemann,50,0.0,0.0,0.0,1.8273013156185367e-11,1.7815227420624214e-11,1.872166106086931e-11,,True
dc_offset,worst,0.2,kasa,50,0.0,0.0,0.0,3.607949922041467e-09,3.6073570511101803e-09,3.6085212495756086e-09,,True
dc_offset,worst,0.2,koning_wimmer_witkovsky,50,0.0,0.0,0.0,1.951429602796623e-11,1.9007834798554203e-11,2.0012032993123636e-11,,True
dc_offset,worst,0.2,raw_atan2,50,0.0,0.0,0.0,1.0127708479971163e-08,1.0126993733851286e-08,1.0128390608514246e-08,,True
dc_offset,worst,0.2,taubin,50,0.0,0.0,0.0,3.607950048292284e-09,3.6073571894418896e-09,3.6085213714841394e-09,,True
arc_fraction,baseline,1.0,fitzgibbon,50,0.0,0.0,0.0,1.8067636866826992e-11,1.7582218405088615e-11,1.8548616739635596e-11,,True
arc_fraction,baseline,1.0,halir_flusser,50,0.0,0.0,0.0,1.806763686681995e-11,1.7582218405094108e-11,1.85486167396318e-11,,True
arc_fraction,baseline,1.0,heydemann,50,0.0,0.0,0.0,1.7189889213652162e-11,1.6702487443089243e-11,1.7672516884928395e-11,,True
arc_fraction,baseline,1.0,kasa,50,0.0,0.0,0.0,3.607457483174131e-09,3.6068409181117728e-09,3.6080822924587413e-09,,True
arc_fraction,baseline,1.0,koning_wimmer_witkovsky,50,0.0,0.0,0.0,1.8050387716079334e-11,1.7566178303242698e-11,1.8532504590131358e-11,,True
arc_fraction,baseline,1.0,raw_atan2,50,0.0,0.0,0.0,3.727541047294917e-09,3.7269618894452626e-09,3.728133948981868e-09,,True
arc_fraction,baseline,1.0,taubin,50,0.0,0.0,0.0,3.607457580681932e-09,3.606840991946834e-09,3.6080824183156376e-09,,True
arc_fraction,worst,0.02,fitzgibbon,50,0.0,1.0,1.0,,,,,False
arc_fraction,worst,0.02,halir_flusser,50,0.54,0.0,0.54,7.321550644875722e-09,6.005305150896715e-09,8.799814290454137e-09,,False
arc_fraction,worst,0.02,heydemann,50,1.0,0.0,1.0,,,,,False
arc_fraction,worst,0.02,kasa,50,0.0,0.0,0.0,9.460591193743962e-10,8.965768608173196e-10,9.958688611376398e-10,,True
arc_fraction,worst,0.02,koning_wimmer_witkovsky,50,0.88,0.12,1.0,,,,,False
arc_fraction,worst,0.02,raw_atan2,50,0.0,0.0,0.0,6.514202347710915e-09,6.51351286647034e-09,6.514902312475828e-09,,True
arc_fraction,worst,0.02,taubin,50,0.0,0.0,0.0,3.242711435502269e-10,2.933575442334968e-10,3.54683025633105e-10,,True
noise_std,baseline,0.0,fitzgibbon,50,0.0,0.0,0.0,1.7990126784614993e-11,1.7468073429838988e-11,1.850339565019046e-11,,True
noise_std,baseline,0.0,halir_flusser,50,0.0,0.0,0.0,1.799012678462515e-11,1.74680734298295e-11,1.8503395650195652e-11,,True
noise_std,baseline,0.0,heydemann,50,0.0,0.0,0.0,1.690407599731844e-11,1.642668678724969e-11,1.7383044427140993e-11,,True
noise_std,baseline,0.0,kasa,50,0.0,0.0,0.0,3.608129737916818e-09,3.6075328351284985e-09,3.6087522351152454e-09,,True
noise_std,baseline,0.0,koning_wimmer_witkovsky,50,0.0,0.0,0.0,1.8006144224793138e-11,1.7483111684117444e-11,1.8522514194084174e-11,,True
noise_std,baseline,0.0,raw_atan2,50,0.0,0.0,0.0,3.728160964205404e-09,3.72757182242036e-09,3.728784827235524e-09,,True
noise_std,baseline,0.0,taubin,50,0.0,0.0,0.0,3.608129848746651e-09,3.6075329306824867e-09,3.608752336139994e-09,,True
noise_std,worst,0.1,fitzgibbon,50,0.0,0.0,0.0,5.149128582459524e-09,5.008313240400179e-09,5.288835822590123e-09,,True
noise_std,worst,0.1,halir_flusser,50,0.0,0.0,0.0,5.149128582459543e-09,5.008313240400213e-09,5.288835822590133e-09,,True
noise_std,worst,0.1,heydemann,50,0.0,0.0,0.0,4.844064908831998e-09,4.724666320186079e-09,4.96395080239193e-09,,True
noise_std,worst,0.1,kasa,50,0.0,0.0,0.0,6.145156088167433e-09,6.013083350771161e-09,6.270592850426191e-09,,True
noise_std,worst,0.1,koning_wimmer_witkovsky,50,0.0,0.0,0.0,5.582208561934925e-09,5.40122573293504e-09,5.7696337108114165e-09,,True
noise_std,worst,0.1,raw_atan2,50,0.0,0.0,0.0,6.146907065577848e-09,6.018648434574423e-09,6.270593630432426e-09,,True
noise_std,worst,0.1,taubin,50,0.0,0.0,0.0,6.16813291996242e-09,6.034194328642955e-09,6.295244993221318e-09,,True
samples_per_fit,baseline,20.0,fitzgibbon,50,0.0,0.0,0.0,1.88409336426771e-11,1.79061896652182e-11,1.9827461380583398e-11,,True
samples_per_fit,baseline,20.0,halir_flusser,50,0.0,0.0,0.0,1.8840933642677672e-11,1.790618966522602e-11,1.9827461380597728e-11,,True
samples_per_fit,baseline,20.0,heydemann,50,0.0,0.0,0.0,1.609429775688729e-11,1.538707024751746e-11,1.6786051699142465e-11,,True
samples_per_fit,baseline,20.0,kasa,50,0.0,0.0,0.0,3.6081264644736235e-09,3.6071748452622324e-09,3.6090498098787525e-09,,True
samples_per_fit,baseline,20.0,koning_wimmer_witkovsky,50,0.0,0.0,0.0,1.878622993243576e-11,1.7855708720239014e-11,1.9766321693542976e-11,,True
samples_per_fit,baseline,20.0,raw_atan2,50,0.0,0.0,0.0,3.728451546005678e-09,3.727430883165789e-09,3.729402849674191e-09,,True
samples_per_fit,baseline,20.0,taubin,50,0.0,0.0,0.0,3.608126803979439e-09,3.6071751829981025e-09,3.609050082596471e-09,,True
samples_per_fit,worst,1000.0,fitzgibbon,50,0.0,0.0,0.0,1.71949762638764e-11,1.7093665672364053e-11,1.7294734411874735e-11,,True
samples_per_fit,worst,1000.0,halir_flusser,50,0.0,0.0,0.0,1.719497626387686e-11,1.709366567236292e-11,1.7294734411876852e-11,,True
samples_per_fit,worst,1000.0,heydemann,50,0.0,0.0,0.0,1.71417647396479e-11,1.704203098162553e-11,1.7239648448420288e-11,,True
samples_per_fit,worst,1000.0,kasa,50,0.0,0.0,0.0,3.60765374170869e-09,3.6075139963786237e-09,3.607798102198159e-09,,True
samples_per_fit,worst,1000.0,koning_wimmer_witkovsky,50,0.0,0.0,0.0,1.7193911315780383e-11,1.70922931379218e-11,1.7294024865555216e-11,,True
samples_per_fit,worst,1000.0,raw_atan2,50,0.0,0.0,0.0,3.7276872917725985e-09,3.727552397618702e-09,3.727823014678299e-09,,True
samples_per_fit,worst,1000.0,taubin,50,0.0,0.0,0.0,3.6076537481232765e-09,3.607514002238932e-09,3.607798109562761e-09,,True
hysteresis_magnitude,baseline,0.0,fitzgibbon,50,0.0,0.0,0.0,1.7958936619724295e-11,1.7499437382956062e-11,1.843477821439992e-11,,True
hysteresis_magnitude,baseline,0.0,halir_flusser,50,0.0,0.0,0.0,1.7958936619722334e-11,1.7499437382943726e-11,1.843477821439763e-11,,True
hysteresis_magnitude,baseline,0.0,heydemann,50,0.0,0.0,0.0,1.7106073355031555e-11,1.6673204629894744e-11,1.754702686843664e-11,,True
hysteresis_magnitude,baseline,0.0,kasa,50,0.0,0.0,0.0,3.6078224708676398e-09,3.607293080618852e-09,3.6083655226430335e-09,,True
hysteresis_magnitude,baseline,0.0,koning_wimmer_witkovsky,50,0.0,0.0,0.0,1.7945633721160534e-11,1.748900352467548e-11,1.8420075452605974e-11,,True
hysteresis_magnitude,baseline,0.0,raw_atan2,50,0.0,0.0,0.0,3.727862771393938e-09,3.727323940901822e-09,3.728414715431985e-09,,True
hysteresis_magnitude,baseline,0.0,taubin,50,0.0,0.0,0.0,3.6078225905337654e-09,3.6072932173996735e-09,3.608365618744694e-09,,True
hysteresis_magnitude,worst,0.2,fitzgibbon,50,0.0,0.0,0.0,6.083591473396187e-10,6.074586216252684e-10,6.09279720628216e-10,,True
hysteresis_magnitude,worst,0.2,halir_flusser,50,0.0,0.0,0.0,6.083591473396085e-10,6.074586216252488e-10,6.092797206282031e-10,,True
hysteresis_magnitude,worst,0.2,heydemann,50,0.0,0.0,0.0,3.0623643797903924e-10,3.0580039244451584e-10,3.0667319910014637e-10,,True
hysteresis_magnitude,worst,0.2,kasa,50,0.0,0.0,0.0,3.6098900094580574e-09,3.6093773292202256e-09,3.6103955174542414e-09,,True
hysteresis_magnitude,worst,0.2,koning_wimmer_witkovsky,50,0.0,0.0,0.0,6.068477541051649e-10,6.059564345262728e-10,6.07767221653569e-10,,True
hysteresis_magnitude,worst,0.2,raw_atan2,50,0.0,0.0,0.0,3.727420876780382e-09,3.726896829134623e-09,3.727938681747388e-09,,True
hysteresis_magnitude,worst,0.2,taubin,50,0.0,0.0,0.0,3.6098531749373746e-09,3.6093404386390035e-09,3.610358688264162e-09,,True
photon_scale,baseline,100.0,fitzgibbon,50,0.0,0.0,0.0,5.897534429918734e-09,5.721133431489302e-09,6.075581943550051e-09,,True
photon_scale,baseline,100.0,halir_flusser,50,0.0,0.0,0.0,5.897534429918743e-09,5.721133431489293e-09,6.075581943550046e-09,,True
photon_scale,baseline,100.0,heydemann,50,0.0,0.0,0.0,5.4963830350526335e-09,5.356685857599904e-09,5.638688841838222e-09,,True
photon_scale,baseline,100.0,kasa,50,0.0,0.0,0.0,6.7095619351421135e-09,6.542324739009109e-09,6.8802045846973465e-09,,True
photon_scale,baseline,100.0,koning_wimmer_witkovsky,50,0.02,0.0,0.02,6.60767686450363e-09,6.299515890728562e-09,6.939550611628498e-09,,True
photon_scale,baseline,100.0,raw_atan2,50,0.0,0.0,0.0,6.620542548373714e-09,6.469007403278001e-09,6.772892107726498e-09,,True
photon_scale,baseline,100.0,taubin,50,0.0,0.0,0.0,6.7522925239518745e-09,6.581543902671658e-09,6.926793541324522e-09,,True
photon_scale,worst,100000.0,fitzgibbon,50,0.0,0.0,0.0,1.8068316210314073e-10,1.764651433709239e-10,1.8484675581365374e-10,,True
photon_scale,worst,100000.0,halir_flusser,50,0.0,0.0,0.0,1.8068316210314469e-10,1.7646514337093137e-10,1.848467558136559e-10,,True
photon_scale,worst,100000.0,heydemann,50,0.0,0.0,0.0,1.7211530157093437e-10,1.6804305919162126e-10,1.7616230349702456e-10,,True
photon_scale,worst,100000.0,kasa,50,0.0,0.0,0.0,3.612479562912909e-09,3.606224658041521e-09,3.6186849924859543e-09,,True
photon_scale,worst,100000.0,koning_wimmer_witkovsky,50,0.0,0.0,0.0,1.8068722612712028e-10,1.764501853826993e-10,1.8490342748511002e-10,,True
photon_scale,worst,100000.0,raw_atan2,50,0.0,0.0,0.0,3.731801850201813e-09,3.725707124330581e-09,3.737849237416036e-09,,True
photon_scale,worst,100000.0,taubin,50,0.0,0.0,0.0,3.612490574102717e-09,3.606235742687077e-09,3.618694889353015e-09,,True
