condition_name,method_name,displacement_rmse_mean_m_monotonic,displacement_rmse_std_m_monotonic,displacement_rmse_mean_m_bidirectional,displacement_rmse_std_m_bidirectional,rmse_difference_m,exceeds_monotonic_noise_floor,unusable_rate_monotonic,unusable_rate_bidirectional,unusable_rate_difference,bidirectional_became_unusable
axis:hysteresis_magnitude=0.1,raw_atan2,3.7276528136685365e-09,2.020199320812618e-12,3.727909416317371e-09,2.023433765186554e-12,2.5660264883488647e-13,False,0.0,0.0,0.0,False
axis:hysteresis_magnitude=0.1,taubin,3.608112310265997e-09,2.085569506434143e-12,3.613395297827994e-09,2.001859562452573e-12,5.282987561996905e-12,True,0.0,0.0,0.0,False
axis:hysteresis_magnitude=0.15,fitzgibbon,4.754636440460136e-10,4.299642572894522e-12,4.1097415111579335e-10,4.191566336341664e-12,-6.448949293022022e-11,True,0.0,0.0,0.0,False
axis:hysteresis_magnitude=0.15,halir_flusser,4.754636440459846e-10,4.2996425728796836e-12,4.1097415111580244e-10,4.1915663363230896e-12,-6.448949293018217e-11,True,0.0,0.0,0.0,False
axis:hysteresis_magnitude=0.15,heydemann,2.3905966150509393e-10,2.570932171558322e-12,2.0784208725954366e-10,2.0829717485226144e-12,-3.1217574245550276e-11,True,0.0,0.0,0.0,False
axis:hysteresis_magnitude=0.15,kasa,3.6090954273680755e-09,1.9107359359576548e-12,3.618631066773444e-09,2.2824151352625733e-12,9.53563940536836e-12,True,0.0,0.0,0.0,False
axis:hysteresis_magnitude=0.15,koning_wimmer_witkovsky,4.741682225499918e-10,4.316654157627804e-12,5.535863594975869e-09,7.748272724786317e-12,5.061695372425877e-09,True,0.0,0.0,0.0,False
axis:hysteresis_magnitude=0.15,raw_atan2,3.727766242849041e-09,1.929925701304505e-12,3.727946318514349e-09,2.1716726420451176e-12,1.800756653078978e-13,False,0.0,0.0,0.0,False
axis:hysteresis_magnitude=0.15,taubin,3.609058475072668e-09,1.910816190383711e-12,3.619507654248665e-09,2.293601198555069e-12,1.0449179175996761e-11,True,0.0,0.0,0.0,False
axis:hysteresis_magnitude=0.2,fitzgibbon,6.083591473396186e-10,3.296708059125456e-12,5.796218585092397e-10,3.97712234907566e-12,-2.8737288830378888e-11,True,0.0,0.0,0.0,False
axis:hysteresis_magnitude=0.2,halir_flusser,6.083591473396085e-10,3.296708059139029e-12,5.796218585092145e-10,3.977122349075597e-12,-2.8737288830393984e-11,True,0.0,0.0,0.0,False
axis:hysteresis_magnitude=0.2,heydemann,3.0623643797903924e-10,1.5700507992214457e-12,,,,False,0.0,1.0,1.0,True
axis:hysteresis_magnitude=0.2,kasa,3.6098900094580574e-09,1.838419219234533e-12,3.625556368320182e-09,2.2353888615562507e-12,1.566635886212469e-11,True,0.0,0.0,0.0,False
axis:hysteresis_magnitude=0.2,koning_wimmer_witkovsky,6.068477541051649e-10,3.269940227010959e-12,,,,False,0.0,1.0,1.0,True
axis:hysteresis_magnitude=0.2,raw_atan2,3.727420876780382e-09,1.8721192225627417e-12,3.727358212125705e-09,2.0751625236141664e-12,-6.266465467678499e-14,False,0.0,0.0,0.0,False
axis:hysteresis_magnitude=0.2,taubin,3.609853174937375e-09,1.838189391045447e-12,3.6276762451919813e-09,2.2605221307851774e-12,1.7823070254606268e-11,True,0.0,0.0,0.0,False
