axis,swept_value,method_a,method_b,mean_difference_m,p_value,significant
amplitude_ratio,1.5,koning_wimmer_witkovsky,taubin,-4.8848183604919824e-09,1.9870110801654718e-173,True
amplitude_ratio,1.5,raw_atan2,taubin,-3.561000735673736e-10,5.0996010336527884e-123,True
quadrature_error_rad,0.5,fitzgibbon,halir_flusser,-1.0938365001762745e-23,0.2583219785725956,False
quadrature_error_rad,0.5,fitzgibbon,heydemann,1.1018819271781712e-12,6.290166425240765e-12,True
quadrature_error_rad,0.5,fitzgibbon,kasa,-1.6144629185075168e-08,7.864528290184386e-181,True
quadrature_error_rad,0.5,fitzgibbon,koning_wimmer_witkovsky,1.0108319157749802e-13,0.021730743095295373,False
quadrature_error_rad,0.5,fitzgibbon,raw_atan2,-1.616882849763833e-08,3.500385591392784e-181,True
quadrature_error_rad,0.5,fitzgibbon,taubin,-1.6144629784969547e-08,7.866626040846037e-181,True
quadrature_error_rad,0.5,halir_flusser,heydemann,1.1018819271891097e-12,6.290166426853076e-12,True
quadrature_error_rad,0.5,halir_flusser,kasa,-1.6144629185075155e-08,7.864528291091443e-181,True
quadrature_error_rad,0.5,halir_flusser,koning_wimmer_witkovsky,1.0108319158843639e-13,0.021730743076422452,False
quadrature_error_rad,0.5,halir_flusser,raw_atan2,-1.6168828497638324e-08,3.500385591809037e-181,True
quadrature_error_rad,0.5,halir_flusser,taubin,-1.614462978496953e-08,7.866626041753337e-181,True
quadrature_error_rad,0.5,heydemann,kasa,-1.6145731067002346e-08,2.634045918986936e-182,True
quadrature_error_rad,0.5,heydemann,koning_wimmer_witkovsky,-1.0007987356006732e-12,9.810300816670221e-11,True
quadrature_error_rad,0.5,heydemann,raw_atan2,-1.616993037956551e-08,1.012475140014526e-182,True
quadrature_error_rad,0.5,heydemann,taubin,-1.614573166689672e-08,2.638484058088543e-182,True
quadrature_error_rad,0.5,kasa,koning_wimmer_witkovsky,1.6144730268266746e-08,5.21093507520235e-181,True
quadrature_error_rad,0.5,kasa,raw_atan2,-2.4199312563165365e-11,4.163174827930437e-105,True
quadrature_error_rad,0.5,kasa,taubin,-5.998943765062291e-16,1.2871440688958826e-05,True
quadrature_error_rad,0.5,koning_wimmer_witkovsky,raw_atan2,-1.616892958082991e-08,2.2719748043987452e-181,True
quadrature_error_rad,0.5,koning_wimmer_witkovsky,taubin,-1.614473086816112e-08,5.211694306467814e-181,True
quadrature_error_rad,0.5,raw_atan2,taubin,2.4198712668788858e-11,4.477192629137751e-105,True
dc_offset,0.2,fitzgibbon,halir_flusser,1.6653924540562743e-23,0.4736978318401739,False
dc_offset,0.2,fitzgibbon,heydemann,1.2507765435359311e-12,2.1794137402714676e-13,True
dc_offset,0.2,fitzgibbon,kasa,-3.5884261323417455e-09,1.937751719446808e-152,True
dc_offset,0.2,fitzgibbon,koning_wimmer_witkovsky,9.493671755063715e-15,0.5064605348131386,False
dc_offset,0.2,fitzgibbon,raw_atan2,-1.010818469027144e-08,1.0750866889601818e-170,True
dc_offset,0.2,fitzgibbon,taubin,-3.588426258592562e-09,1.9370679625053155e-152,True
dc_offset,0.2,halir_flusser,heydemann,1.250776543519277e-12,2.1794137429545769e-13,True
dc_offset,0.2,halir_flusser,kasa,-3.5884261323417617e-09,1.9377517184066765e-152,True
dc_offset,0.2,halir_flusser,koning_wimmer_witkovsky,9.49367173840979e-15,0.5064605353723819,False
dc_offset,0.2,halir_flusser,raw_atan2,-1.010818469027146e-08,1.0750866886572516e-170,True
dc_offset,0.2,halir_flusser,taubin,-3.5884262585925783e-09,1.93706796146511e-152,True
dc_offset,0.2,heydemann,kasa,-3.5896769088852824e-09,6.152020125122451e-153,True
dc_offset,0.2,heydemann,koning_wimmer_witkovsky,-1.2412828717808673e-12,2.403097476796867e-13,True
dc_offset,0.2,heydemann,raw_atan2,-1.0109435466814976e-08,5.819170731476186e-172,True
dc_offset,0.2,heydemann,taubin,-3.5896770351360978e-09,6.152481958101028e-153,True
dc_offset,0.2,kasa,koning_wimmer_witkovsky,3.5884356260135005e-09,1.5646121858519923e-152,True
dc_offset,0.2,kasa,raw_atan2,-6.519758557929696e-09,4.8027226554989e-171,True
dc_offset,0.2,kasa,taubin,-1.2625081653781983e-16,4.612932563156996e-07,True
dc_offset,0.2,koning_wimmer_witkovsky,raw_atan2,-1.0108194183943198e-08,8.961157240977008e-171,True
dc_offset,0.2,koning_wimmer_witkovsky,taubin,-3.5884357522643167e-09,1.5640327035236843e-152,True
dc_offset,0.2,raw_atan2,taubin,6.51975843167888e-09,4.808196054842052e-171,True
arc_fraction,0.02,fitzgibbon,halir_flusser,6.972823745616429e-08,2.680433159831321e-25,True
arc_fraction,0.02,fitzgibbon,heydemann,,,False
arc_fraction,0.02,fitzgibbon,kasa,7.509135292102308e-08,1.534794630069873e-59,True
arc_fraction,0.02,fitzgibbon,koning_wimmer_witkovsky,-2.5558858803655938e-09,0.731690105909856,False
arc_fraction,0.02,fitzgibbon,raw_atan2,6.952320969268656e-08,7.061365908573108e-58,True
arc_fraction,0.02,fitzgibbon,taubin,7.571314089684725e-08,7.144001335242747e-60,True
arc_fraction,0.02,halir_flusser,heydemann,,,False
arc_fraction,0.02,halir_flusser,kasa,6.3956851420877606e-09,2.022833520111515e-08,True
arc_fraction,0.02,halir_flusser,koning_wimmer_witkovsky,-7.271376126457616e-08,0.0014317226404855375,True
arc_fraction,0.02,halir_flusser,raw_atan2,8.077923844166482e-10,0.29083050500852575,False
arc_fraction,0.02,halir_flusser,taubin,6.974935346467618e-09,3.787508310739384e-09,True
arc_fraction,0.02,heydemann,kasa,,,False
arc_fraction,0.02,heydemann,koning_wimmer_witkovsky,,,False
arc_fraction,0.02,heydemann,raw_atan2,,,False
arc_fraction,0.02,heydemann,taubin,,,False
arc_fraction,0.02,kasa,koning_wimmer_witkovsky,-7.670616164029218e-08,0.000108700855725404,True
arc_fraction,0.02,kasa,raw_atan2,-5.568143228336518e-09,1.5539768151938004e-74,True
arc_fraction,0.02,kasa,taubin,6.217879758241692e-10,5.645050989876589e-26,True
arc_fraction,0.02,koning_wimmer_witkovsky,raw_atan2,7.109958773558903e-08,0.0001545556950371417,True
arc_fraction,0.02,koning_wimmer_witkovsky,taubin,7.733862029396507e-08,0.00010343846806218544,True
arc_fraction,0.02,raw_atan2,taubin,6.189931204160688e-09,5.757773326015419e-87,True
noise_std,0.1,fitzgibbon,halir_flusser,-2.031555584430236e-23,0.08192957718455358,False
noise_std,0.1,fitzgibbon,heydemann,3.0506367362752664e-10,1.6416946253986214e-12,True
noise_std,0.1,fitzgibbon,kasa,-9.960275057079087e-10,1.9330702367418031e-19,True
noise_std,0.1,fitzgibbon,koning_wimmer_witkovsky,-4.330799794754018e-10,1.622422490618377e-08,True
noise_std,0.1,fitzgibbon,raw_atan2,-9.97778483118324e-10,1.6535481409813674e-18,True
noise_std,0.1,fitzgibbon,taubin,-1.0190043375028945e-09,8.458175579529814e-20,True
noise_std,0.1,halir_flusser,heydemann,3.0506367362754685e-10,1.6416946253936694e-12,True
noise_std,0.1,halir_flusser,kasa,-9.960275057078884e-10,1.9330702367409196e-19,True
noise_std,0.1,halir_flusser,koning_wimmer_witkovsky,-4.330799794753816e-10,1.6224224906174775e-08,True
noise_std,0.1,halir_flusser,raw_atan2,-9.977784831183037e-10,1.6535481409806827e-18,True
noise_std,0.1,halir_flusser,taubin,-1.0190043375028745e-09,8.45817557952583e-20,True
noise_std,0.1,heydemann,kasa,-1.3010911793354356e-09,2.9889113352520427e-26,True
noise_std,0.1,heydemann,koning_wimmer_witkovsky,-7.381436531029284e-10,2.7238127933209863e-13,True
noise_std,0.1,heydemann,raw_atan2,-1.3028421567458505e-09,2.9394800392297195e-26,True
noise_std,0.1,heydemann,taubin,-1.3240680111304213e-09,2.64712518889419e-26,True
noise_std,0.1,kasa,koning_wimmer_witkovsky,5.629475262325067e-10,4.1963800940820095e-09,True
noise_std,0.1,kasa,raw_atan2,-1.7509774104154344e-12,0.9370021436388261,False
noise_std,0.1,kasa,taubin,-2.2976831794986097e-11,8.532465378196478e-08,True
noise_std,0.1,koning_wimmer_witkovsky,raw_atan2,-5.646985036429222e-10,1.041278624219115e-08,True
noise_std,0.1,koning_wimmer_witkovsky,taubin,-5.859243580274929e-10,1.498057320101237e-09,True
noise_std,0.1,raw_atan2,taubin,-2.1225854384570663e-11,0.3979088373830285,False
samples_per_fit,1000.0,fitzgibbon,halir_flusser,-4.578573937451719e-25,0.8289018812690292,False
samples_per_fit,1000.0,fitzgibbon,heydemann,5.3211524228497725e-14,8.688918524886278e-11,True
samples_per_fit,1000.0,fitzgibbon,kasa,-3.590458765444813e-09,5.270307389994678e-185,True
samples_per_fit,1000.0,fitzgibbon,koning_wimmer_witkovsky,1.0649480960136267e-15,0.20888608453319374,False
samples_per_fit,1000.0,fitzgibbon,raw_atan2,-3.710492315508723e-09,5.209773710165655e-186,True
samples_per_fit,1000.0,fitzgibbon,taubin,-3.5904587718594e-09,5.270170101334719e-185,True
samples_per_fit,1000.0,halir_flusser,heydemann,5.3211524228955586e-14,8.688918508878694e-11,True
samples_per_fit,1000.0,halir_flusser,kasa,-3.5904587654448137e-09,5.270307388796049e-185,True
samples_per_fit,1000.0,halir_flusser,koning_wimmer_witkovsky,1.0649480964714842e-15,0.20888608398416791,False
samples_per_fit,1000.0,halir_flusser,raw_atan2,-3.710492315508722e-09,5.209773708795112e-186,True
samples_per_fit,1000.0,halir_flusser,taubin,-3.5904587718594e-09,5.270170100136121e-185,True
samples_per_fit,1000.0,heydemann,kasa,-3.5905119769690427e-09,3.225610853979566e-185,True
samples_per_fit,1000.0,heydemann,koning_wimmer_witkovsky,-5.21465761324841e-14,1.4024906189209687e-10,True
samples_per_fit,1000.0,heydemann,raw_atan2,-3.7105455270329506e-09,3.2929004923376603e-186,True
samples_per_fit,1000.0,heydemann,taubin,-3.5905119833836286e-09,3.22558423180644e-185,True
samples_per_fit,1000.0,kasa,koning_wimmer_witkovsky,3.5904598303929094e-09,4.6656380461268267e-185,True
samples_per_fit,1000.0,kasa,raw_atan2,-1.200335500639083e-10,3.061905756809018e-147,True
samples_per_fit,1000.0,kasa,taubin,-6.414586076482339e-18,4.512961197726658e-10,True
samples_per_fit,1000.0,koning_wimmer_witkovsky,raw_atan2,-3.7104933804568186e-09,4.574334415648911e-186,True
samples_per_fit,1000.0,koning_wimmer_witkovsky,taubin,-3.5904598368074966e-09,4.6655149737744766e-185,True
samples_per_fit,1000.0,raw_atan2,taubin,1.2003354364932224e-10,3.0622651551597854e-147,True
hysteresis_magnitude,0.2,fitzgibbon,halir_flusser,1.00130213149544e-23,0.5232267445963427,False
hysteresis_magnitude,0.2,fitzgibbon,heydemann,3.021227093605793e-10,1.035262444449767e-102,True
hysteresis_magnitude,0.2,fitzgibbon,kasa,-3.001530862118439e-09,1.033331967597732e-148,True
hysteresis_magnitude,0.2,fitzgibbon,koning_wimmer_witkovsky,1.5113932344537355e-12,3.698050932365418e-48,True
hysteresis_magnitude,0.2,fitzgibbon,raw_atan2,-3.1190617294407633e-09,2.2529663373456007e-150,True
hysteresis_magnitude,0.2,fitzgibbon,taubin,-3.0014940275977564e-09,1.0451676094293197e-148,True
hysteresis_magnitude,0.2,halir_flusser,heydemann,3.021227093605693e-10,1.035262444631872e-102,True
hysteresis_magnitude,0.2,halir_flusser,kasa,-3.0015308621184486e-09,1.0333319678533017e-148,True
hysteresis_magnitude,0.2,halir_flusser,koning_wimmer_witkovsky,1.5113932344437225e-12,3.6980509578947253e-48,True
hysteresis_magnitude,0.2,halir_flusser,raw_atan2,-3.119061729440773e-09,2.2529663380445864e-150,True
hysteresis_magnitude,0.2,halir_flusser,taubin,-3.001494027597767e-09,1.0451676096878165e-148,True
hysteresis_magnitude,0.2,heydemann,kasa,-3.3036535714790182e-09,3.078649245620462e-156,True
hysteresis_magnitude,0.2,heydemann,koning_wimmer_witkovsky,-3.0061131612612557e-10,8.613057892469259e-103,True
hysteresis_magnitude,0.2,heydemann,raw_atan2,-3.421184438801343e-09,5.432568517753806e-157,True
hysteresis_magnitude,0.2,heydemann,taubin,-3.303616736958336e-09,3.089894950517366e-156,True
hysteresis_magnitude,0.2,kasa,koning_wimmer_witkovsky,3.0030422553528924e-09,6.264395338126813e-149,True
hysteresis_magnitude,0.2,kasa,raw_atan2,-1.1753086732232434e-10,2.6415545774171462e-120,True
hysteresis_magnitude,0.2,kasa,taubin,3.683452068244762e-14,9.007309231574164e-76,True
hysteresis_magnitude,0.2,koning_wimmer_witkovsky,raw_atan2,-3.120573122675217e-09,1.2694709675081503e-150,True
hysteresis_magnitude,0.2,koning_wimmer_witkovsky,taubin,-3.00300542083221e-09,6.336782422661031e-149,True
hysteresis_magnitude,0.2,raw_atan2,taubin,1.1756770184300677e-10,2.8248662204976277e-120,True
photon_scale,100000.0,fitzgibbon,halir_flusser,-3.9011905639532164e-24,0.6796849611623264,False
photon_scale,100000.0,fitzgibbon,heydemann,8.567860532206384e-12,5.604683016646543e-10,True
photon_scale,100000.0,fitzgibbon,kasa,-3.4317964008097686e-09,3.197470784097894e-106,True
photon_scale,100000.0,fitzgibbon,koning_wimmer_witkovsky,-4.064023979506788e-15,0.9726612210285159,False
photon_scale,100000.0,fitzgibbon,raw_atan2,-3.551118688098672e-09,3.6648674924587553e-107,True
photon_scale,100000.0,fitzgibbon,taubin,-3.431807411999575e-09,3.1796950279345103e-106,True
photon_scale,100000.0,halir_flusser,heydemann,8.567860532210286e-12,5.604683016878794e-10,True
photon_scale,100000.0,halir_flusser,kasa,-3.431796400809765e-09,3.1974707840674496e-106,True
photon_scale,100000.0,halir_flusser,koning_wimmer_witkovsky,-4.064023975605597e-15,0.9726612210547321,False
photon_scale,100000.0,halir_flusser,raw_atan2,-3.5511186880986672e-09,3.6648674924479224e-107,True
photon_scale,100000.0,halir_flusser,taubin,-3.431807411999571e-09,3.179695027903874e-106,True
photon_scale,100000.0,heydemann,kasa,-3.440364261341975e-09,5.503448134017566e-107,True
photon_scale,100000.0,heydemann,koning_wimmer_witkovsky,-8.571924556185893e-12,4.584342170297281e-10,True
photon_scale,100000.0,heydemann,raw_atan2,-3.559686548630878e-09,2.913180822453152e-108,True
photon_scale,100000.0,heydemann,taubin,-3.4403752725317814e-09,5.492086225010455e-107,True
photon_scale,100000.0,kasa,koning_wimmer_witkovsky,3.4317923367857894e-09,3.2029557101007783e-106,True
photon_scale,100000.0,kasa,raw_atan2,-1.1932228728890275e-10,3.010489773211987e-70,True
photon_scale,100000.0,kasa,taubin,-1.101118980687615e-14,1.6948274889766075e-10,True
photon_scale,100000.0,koning_wimmer_witkovsky,raw_atan2,-3.5511146240746926e-09,3.380282030418646e-107,True
photon_scale,100000.0,koning_wimmer_witkovsky,taubin,-3.4318033479755957e-09,3.1854194183402173e-106,True
photon_scale,100000.0,raw_atan2,taubin,1.1931127609909586e-10,3.133709272232801e-70,True
