arc_fraction,noise_std,method_name,displacement_rmse_mean_m,unusable_rate
0.35,0.05,fitzgibbon,1.957836598863062e-08,0.0
0.35,0.06,fitzgibbon,2.1891068559412533e-08,0.06
0.35,0.08,fitzgibbon,2.5841117114192043e-08,0.58
0.35,0.1,fitzgibbon,2.8715340690523912e-08,0.96
0.5,0.0,fitzgibbon,2.6503735879482648e-11,0.0
0.5,0.005,fitzgibbon,3.747048625586153e-10,0.0
0.5,0.01,fitzgibbon,7.159181450842096e-10,0.0
0.5,0.02,fitzgibbon,1.655179735680161e-09,0.0
0.5,0.03,fitzgibbon,2.724350568976047e-09,0.0
0.5,0.04,fitzgibbon,4.265775413639522e-09,0.0
0.5,0.05,fitzgibbon,5.546817331562197e-09,0.0
0.5,0.06,fitzgibbon,7.198839136139121e-09,0.0
0.5,0.08,fitzgibbon,9.187687133637338e-09,0.0
0.5,0.1,fitzgibbon,1.1735773219919358e-08,0.0
0.75,0.0,fitzgibbon,1.8478463578749293e-11,0.0
0.75,0.005,fitzgibbon,2.6514991106339566e-10,0.0
0.75,0.01,fitzgibbon,5.21134482494569e-10,0.0
0.75,0.02,fitzgibbon,1.057668120145037e-09,0.0
0.75,0.03,fitzgibbon,1.6037410938141643e-09,0.0
0.75,0.04,fitzgibbon,2.216287435399948e-09,0.0
0.75,0.05,fitzgibbon,2.646403551527928e-09,0.0
0.75,0.06,fitzgibbon,3.135901082500081e-09,0.0
0.75,0.08,fitzgibbon,4.244230177912574e-09,0.0
0.75,0.1,fitzgibbon,5.322951986548709e-09,0.0
1.0,0.0,fitzgibbon,1.7785692572996504e-11,0.0
1.0,0.005,fitzgibbon,2.4913287801104407e-10,0.0
1.0,0.01,fitzgibbon,5.085203342032756e-10,0.0
1.0,0.02,fitzgibbon,1.0093440767435123e-09,0.0
1.0,0.03,fitzgibbon,1.5219479270076783e-09,0.0
1.0,0.04,fitzgibbon,1.9839633715935376e-09,0.0
1.0,0.05,fitzgibbon,2.5565201357924904e-09,0.0
1.0,0.06,fitzgibbon,3.0199049416084022e-09,0.0
1.0,0.08,fitzgibbon,4.102310398654641e-09,0.0
1.0,0.1,fitzgibbon,5.0589864104609394e-09,0.0
0.02,0.0,halir_flusser,7.59899091233421e-09,0.56
0.02,0.005,halir_flusser,8.535532199512756e-08,1.0
0.02,0.01,halir_flusser,8.66195835939662e-08,1.0
0.02,0.02,halir_flusser,8.732312028325592e-08,1.0
0.02,0.03,halir_flusser,8.843207464739367e-08,1.0
0.02,0.04,halir_flusser,8.837416633108527e-08,1.0
0.02,0.05,halir_flusser,9.287810828167247e-08,1.0
0.02,0.06,halir_flusser,9.158335791855317e-08,1.0
0.02,0.08,halir_flusser,9.068540962460083e-08,1.0
0.02,0.1,halir_flusser,9.132733118266427e-08,1.0
0.05,0.0,halir_flusser,3.864365849616424e-08,0.96
0.05,0.005,halir_flusser,7.475135581814188e-08,1.0
0.05,0.01,halir_flusser,7.895475166389413e-08,1.0
0.05,0.02,halir_flusser,8.213475921148386e-08,1.0
0.05,0.03,halir_flusser,8.357985414441557e-08,1.0
0.05,0.04,halir_flusser,8.573347720111916e-08,1.0
0.05,0.05,halir_flusser,8.737886062431896e-08,1.0
0.05,0.06,halir_flusser,8.70184987481448e-08,1.0
0.05,0.08,halir_flusser,8.806968189471464e-08,1.0
0.05,0.1,halir_flusser,8.732930303013742e-08,1.0
0.1,0.0,halir_flusser,1.8409647312239377e-08,0.0
0.1,0.005,halir_flusser,5.403035022769391e-08,1.0
0.1,0.01,halir_flusser,6.06312476975741e-08,1.0
0.1,0.02,halir_flusser,6.729310311697274e-08,1.0
0.1,0.03,halir_flusser,7.251114507313623e-08,1.0
0.1,0.04,halir_flusser,7.523181084311229e-08,1.0
0.1,0.05,halir_flusser,7.654806329751141e-08,1.0
0.1,0.06,halir_flusser,7.673119885199528e-08,1.0
0.1,0.08,halir_flusser,8.019078888805096e-08,1.0
0.1,0.1,halir_flusser,7.972961027906399e-08,1.0
0.15,0.0,halir_flusser,3.7090832667569603e-09,0.0
0.15,0.005,halir_flusser,3.495254514506145e-08,1.0
0.15,0.01,halir_flusser,4.473859219463116e-08,1.0
0.15,0.02,halir_flusser,5.27479339235152e-08,1.0
0.15,0.03,halir_flusser,5.6676104746022254e-08,1.0
0.15,0.04,halir_flusser,6.169513110093775e-08,1.0
0.15,0.05,halir_flusser,6.356246775263819e-08,1.0
0.15,0.06,halir_flusser,6.652155842901409e-08,1.0
0.15,0.08,halir_flusser,6.88599429008535e-08,1.0
0.15,0.1,halir_flusser,7.164005761159489e-08,1.0
0.25,0.0,halir_flusser,2.2676439938836302e-10,0.0
0.25,0.005,halir_flusser,8.314326705108251e-09,0.0
0.25,0.01,halir_flusser,1.6911504814463578e-08,0.0
0.25,0.02,halir_flusser,2.6280575542556144e-08,0.7
0.25,0.03,halir_flusser,3.204676901817195e-08,1.0
0.25,0.04,halir_flusser,3.494112961995547e-08,1.0
0.25,0.05,halir_flusser,3.82225730273343e-08,1.0
0.25,0.06,halir_flusser,4.1154678542539754e-08,1.0
0.25,0.08,halir_flusser,4.443174841338402e-08,1.0
0.25,0.1,halir_flusser,4.850205767058496e-08,1.0
0.35,0.0,halir_flusser,7.244393701354052e-11,0.0
0.35,0.005,halir_flusser,1.2318724868022274e-09,0.0
0.35,0.01,halir_flusser,3.8980011276472074e-09,0.0
0.35,0.02,halir_flusser,8.675052563205751e-09,0.0
0.35,0.03,halir_flusser,1.3307752122280296e-08,0.0
0.35,0.04,halir_flusser,1.704194338992932e-08,0.0
0.35,0.05,halir_flusser,1.957836598864704e-08,0.0
0.35,0.06,halir_flusser,2.1891068559499983e-08,0.06
0.35,0.08,halir_flusser,2.5841117114212788e-08,0.58
0.35,0.1,halir_flusser,2.8715340690787938e-08,0.96
0.5,0.0,halir_flusser,2.6503735878799584e-11,0.0
0.5,0.005,halir_flusser,3.747048625591437e-10,0.0
0.5,0.01,halir_flusser,7.159181450848223e-10,0.0
0.5,0.02,halir_flusser,1.6551797356815735e-09,0.0
0.5,0.03,halir_flusser,2.724350568977574e-09,0.0
0.5,0.04,halir_flusser,4.265775413639121e-09,0.0
0.5,0.05,halir_flusser,5.546817331563415e-09,0.0
0.5,0.06,halir_flusser,7.198839136138344e-09,0.0
0.5,0.08,halir_flusser,9.187687133638036e-09,0.0
0.5,0.1,halir_flusser,1.1735773219920262e-08,0.0
0.75,0.0,halir_flusser,1.8478463578711217e-11,0.0
0.75,0.005,halir_flusser,2.6514991106336567e-10,0.0
0.75,0.01,halir_flusser,5.211344824945827e-10,0.0
0.75,0.02,halir_flusser,1.0576681201449196e-09,0.0
0.75,0.03,halir_flusser,1.603741093814134e-09,0.0
0.75,0.04,halir_flusser,2.216287435400002e-09,0.0
0.75,0.05,halir_flusser,2.6464035515279674e-09,0.0
0.75,0.06,halir_flusser,3.135901082500082e-09,0.0
0.75,0.08,halir_flusser,4.244230177912456e-09,0.0
0.75,0.1,halir_flusser,5.322951986548615e-09,0.0
1.0,0.0,halir_flusser,1.778569257300041e-11,0.0
1.0,0.005,halir_flusser,2.4913287801104045e-10,0.0
1.0,0.01,halir_flusser,5.085203342032751e-10,0.0
1.0,0.02,halir_flusser,1.0093440767435243e-09,0.0
1.0,0.03,halir_flusser,1.521947927007694e-09,0.0
1.0,0.04,halir_flusser,1.9839633715935293e-09,0.0
1.0,0.05,halir_flusser,2.556520135792485e-09,0.0
1.0,0.06,halir_flusser,3.019904941608384e-09,0.0
1.0,0.08,halir_flusser,4.102310398654632e-09,0.0
1.0,0.1,halir_flusser,5.058986410460935e-09,0.0
0.02,0.0,heydemann,,1.0
0.02,0.005,heydemann,,1.0
0.02,0.01,heydemann,,1.0
0.02,0.02,heydemann,,1.0
0.02,0.03,heydemann,,1.0
0.02,0.04,heydemann,,1.0
0.02,0.05,heydemann,,1.0
0.02,0.06,heydemann,,1.0
0.02,0.08,heydemann,,1.0
0.02,0.1,heydemann,,1.0
0.05,0.0,heydemann,,1.0
0.05,0.005,heydemann,,1.0
0.05,0.01,heydemann,,1.0
0.05,0.02,heydemann,,1.0
0.05,0.03,heydemann,,1.0
0.05,0.04,heydemann,,1.0
0.05,0.05,heydemann,,1.0
0.05,0.06,heydemann,,1.0
0.05,0.08,heydemann,,1.0
0.05,0.1,heydemann,,1.0
0.1,0.0,heydemann,,1.0
0.1,0.005,heydemann,,1.0
0.1,0.01,heydemann,,1.0
0.1,0.02,heydemann,,1.0
0.1,0.03,heydemann,,1.0
0.1,0.04,heydemann,,1.0
0.1,0.05,heydemann,,1.0
0.1,0.06,heydemann,,1.0
0.1,0.08,heydemann,,1.0
0.1,0.1,heydemann,,1.0
0.15,0.0,heydemann,,1.0
0.15,0.005,heydemann,,1.0
0.15,0.01,heydemann,,1.0
0.15,0.02,heydemann,,1.0
0.15,0.03,heydemann,,1.0
0.15,0.04,heydemann,,1.0
0.15,0.05,heydemann,,1.0
0.15,0.06,heydemann,,1.0
0.15,0.08,heydemann,,1.0
0.15,0.1,heydemann,,1.0
0.25,0.0,heydemann,,1.0
0.25,0.005,heydemann,,1.0
0.25,0.01,heydemann,,1.0
0.25,0.02,heydemann,,1.0
0.25,0.03,heydemann,,1.0
0.25,0.04,heydemann,,1.0
0.25,0.05,heydemann,,1.0
0.25,0.06,heydemann,,1.0
0.25,0.08,heydemann,,1.0
0.25,0.1,heydemann,,1.0
0.35,0.0,heydemann,,1.0
0.35,0.005,heydemann,,1.0
0.35,0.01,heydemann,,1.0
0.35,0.02,heydemann,,1.0
0.35,0.03,heydemann,,1.0
0.35,0.04,heydemann,,1.0
0.35,0.05,heydemann,,1.0
0.35,0.06,heydemann,,1.0
0.35,0.08,heydemann,,1.0
0.35,0.1,heydemann,,1.0
0.5,0.0,heydemann,,1.0
0.5,0.005,heydemann,,1.0
0.5,0.01,heydemann,,1.0
0.5,0.02,heydemann,,1.0
0.5,0.03,heydemann,,1.0
0.5,0.04,heydemann,,1.0
0.5,0.05,heydemann,,1.0
0.5,0.06,heydemann,,1.0
0.5,0.08,heydemann,,1.0
0.5,0.1,heydemann,,1.0
0.75,0.0,heydemann,,1.0
0.75,0.005,heydemann,,1.0
0.75,0.01,heydemann,,1.0
0.75,0.02,heydemann,,1.0
0.75,0.03,heydemann,,1.0
0.75,0.04,heydemann,,1.0
0.75,0.05,heydemann,,1.0
0.75,0.06,heydemann,,1.0
0.75,0.08,heydemann,,1.0
0.75,0.1,heydemann,,1.0
1.0,0.0,heydemann,1.676777787882401e-11,0.0
1.0,0.005,heydemann,2.3875926777311767e-10,0.0
1.0,0.01,heydemann,4.79002805952402e-10,0.0
1.0,0.02,heydemann,9.61662687698122e-10,0.0
1.0,0.03,heydemann,1.44044539455696e-09,0.0
1.0,0.04,heydemann,1.8739666109445074e-09,0.0
1.0,0.05,heydemann,2.4307767196851672e-09,0.0
1.0,0.06,heydemann,2.854560538124418e-09,0.0
1.0,0.08,heydemann,3.881723186300501e-09,0.0
1.0,0.1,heydemann,4.767200637300877e-09,0.0
0.02,0.0,kasa,1.0097694179123703e-09,0.0
0.02,0.005,kasa,5.657875264036255e-08,1.0
0.02,0.01,kasa,7.657659258418269e-08,1.0
0.02,0.02,kasa,8.123226041464969e-08,1.0
0.02,0.03,kasa,8.553485653883073e-08,1.0
0.02,0.04,kasa,8.641942919061147e-08,1.0
0.02,0.05,kasa,9.156905119934313e-08,1.0
0.02,0.06,kasa,8.995128643447717e-08,1.0
0.02,0.08,kasa,9.004753624998373e-08,1.0
0.02,0.1,kasa,9.119303607380505e-08,1.0
0.05,0.0,kasa,5.612624600215053e-10,0.0
0.05,0.005,kasa,6.908037561399577e-09,0.0
0.05,0.01,kasa,2.5997889828302435e-08,0.48
0.05,0.02,kasa,5.626341755823737e-08,1.0
0.05,0.03,kasa,6.715471459535586e-08,1.0
0.05,0.04,kasa,7.794782038163084e-08,1.0
0.05,0.05,kasa,8.034981090491709e-08,1.0
0.05,0.06,kasa,8.180556820125444e-08,1.0
0.05,0.08,kasa,8.541373070734346e-08,1.0
0.05,0.1,kasa,8.551208579410823e-08,1.0
0.1,0.0,kasa,7.520868638552495e-10,0.0
0.1,0.005,kasa,1.0594728402999703e-09,0.0
0.1,0.01,kasa,3.6949382428989315e-09,0.0
0.1,0.02,kasa,1.3290881295288768e-08,0.0
0.1,0.03,kasa,2.6775219100170897e-08,0.6
0.1,0.04,kasa,3.735500654358148e-08,0.98
0.1,0.05,kasa,4.690729192734096e-08,1.0
0.1,0.06,kasa,5.527164033665592e-08,1.0
0.1,0.08,kasa,6.728829025192554e-08,1.0
0.1,0.1,kasa,6.975095409458558e-08,1.0
0.15,0.0,kasa,7.157225715742223e-10,0.0
0.15,0.005,kasa,9.385315713279322e-10,0.0
0.15,0.01,kasa,1.5890064487315655e-09,0.0
0.15,0.02,kasa,4.658813458726518e-09,0.0
0.15,0.03,kasa,9.249986092032122e-09,0.0
0.15,0.04,kasa,1.5362313918123813e-08,0.0
0.15,0.05,kasa,2.1148774661115856e-08,0.14
0.15,0.06,kasa,2.91483847667036e-08,0.7
0.15,0.08,kasa,3.9790316016482284e-08,1.0
0.15,0.1,kasa,4.7694224241378796e-08,1.0
0.25,0.0,kasa,2.278489114406847e-09,0.0
0.25,0.005,kasa,2.354135804145989e-09,0.0
0.25,0.01,kasa,2.5298264264213732e-09,0.0
0.25,0.02,kasa,3.4079943227757362e-09,0.0
0.25,0.03,kasa,4.3849093302207104e-09,0.0
0.25,0.04,kasa,6.032109741603314e-09,0.0
0.25,0.05,kasa,7.757098870981104e-09,0.0
0.25,0.06,kasa,9.783671141029958e-09,0.0
0.25,0.08,kasa,1.500679942016514e-08,0.0
0.25,0.1,kasa,1.9531842908327042e-08,0.08
0.35,0.0,kasa,4.228949597932274e-09,0.0
0.35,0.005,kasa,4.255597577546683e-09,0.0
0.35,0.01,kasa,4.294913174846991e-09,0.0
0.35,0.02,kasa,4.549978007382223e-09,0.0
0.35,0.03,kasa,4.977778808559652e-09,0.0
0.35,0.04,kasa,5.5396962123215156e-09,0.0
0.35,0.05,kasa,6.631471207741461e-09,0.0
0.35,0.06,kasa,7.282159034921899e-09,0.0
0.35,0.08,kasa,9.195234634457981e-09,0.0
0.35,0.1,kasa,1.133934733860858e-08,0.0
0.5,0.0,kasa,4.814671454298367e-09,0.0
0.5,0.005,kasa,4.822499292843402e-09,0.0
0.5,0.01,kasa,4.841045942196055e-09,0.0
0.5,0.02,kasa,4.965947562146216e-09,0.0
0.5,0.03,kasa,5.170307403965527e-09,0.0
0.5,0.04,kasa,5.349558317776652e-09,0.0
0.5,0.05,kasa,5.705872756913278e-09,0.0
0.5,0.06,kasa,6.2074696700226766e-09,0.0
0.5,0.08,kasa,6.970747967536565e-09,0.0
0.5,0.1,kasa,7.816436057596758e-09,0.0
0.75,0.0,kasa,4.266941954306772e-09,0.0
0.75,0.005,kasa,4.272367259516818e-09,0.0
0.75,0.01,kasa,4.293120832270366e-09,0.0
0.75,0.02,kasa,4.384495647186131e-09,0.0
0.75,0.03,kasa,4.4956548758994876e-09,0.0
0.75,0.04,kasa,4.671796899140173e-09,0.0
0.75,0.05,kasa,4.80930477676849e-09,0.0
0.75,0.06,kasa,5.135077496086221e-09,0.0
0.75,0.08,kasa,5.701465368605229e-09,0.0
0.75,0.1,kasa,6.3932296791279875e-09,0.0
1.0,0.0,kasa,3.6070179060679087e-09,0.0
1.0,0.005,kasa,3.612756656936016e-09,0.0
1.0,0.01,kasa,3.659949498440279e-09,0.0
1.0,0.02,kasa,3.732945328606626e-09,0.0
1.0,0.03,kasa,3.8686028502225585e-09,0.0
1.0,0.04,kasa,4.0902379883865715e-09,0.0
1.0,0.05,kasa,4.321180488848533e-09,0.0
1.0,0.06,kasa,4.561418528932562e-09,0.0
1.0,0.08,kasa,5.309442456881091e-09,0.0
1.0,0.1,kasa,6.016091430266931e-09,0.0
0.02,0.0,koning_wimmer_witkovsky,9.09406838825586e-08,1.0
0.02,0.005,koning_wimmer_witkovsky,7.497993617902206e-08,1.0
0.02,0.01,koning_wimmer_witkovsky,8.650959869690502e-08,1.0
0.02,0.02,koning_wimmer_witkovsky,8.442855591716789e-08,1.0
0.02,0.03,koning_wimmer_witkovsky,6.773470881771624e-08,1.0
0.02,0.04,koning_wimmer_witkovsky,1.059705118641003e-07,1.0
0.02,0.05,koning_wimmer_witkovsky,8.087009319067835e-08,1.0
0.02,0.06,koning_wimmer_witkovsky,7.579598838821183e-08,1.0
0.02,0.08,koning_wimmer_witkovsky,,1.0
0.02,0.1,koning_wimmer_witkovsky,7.763742202814766e-08,1.0
0.05,0.0,koning_wimmer_witkovsky,,1.0
0.05,0.005,koning_wimmer_witkovsky,7.636187616025324e-08,1.0
0.05,0.01,koning_wimmer_witkovsky,8.732049257356296e-08,1.0
0.05,0.02,koning_wimmer_witkovsky,8.633659787283764e-08,1.0
0.05,0.03,koning_wimmer_witkovsky,8.621134095565835e-08,1.0
0.05,0.04,koning_wimmer_witkovsky,7.730742077082037e-08,1.0
0.05,0.05,koning_wimmer_witkovsky,8.314515146061731e-08,1.0
0.05,0.06,koning_wimmer_witkovsky,1.2565136839033433e-07,1.0
0.05,0.08,koning_wimmer_witkovsky,7.007278248551641e-08,0.98
0.05,0.1,koning_wimmer_witkovsky,,1.0
0.1,0.0,koning_wimmer_witkovsky,4.028888149743788e-08,1.0
0.1,0.005,koning_wimmer_witkovsky,7.830952835686639e-08,1.0
0.1,0.01,koning_wimmer_witkovsky,7.897954235752193e-08,1.0
0.1,0.02,koning_wimmer_witkovsky,8.349655078102754e-08,1.0
0.1,0.03,koning_wimmer_witkovsky,7.799228962126038e-08,1.0
0.1,0.04,koning_wimmer_witkovsky,7.8521668145832e-08,1.0
0.1,0.05,koning_wimmer_witkovsky,8.185480938433611e-08,1.0
0.1,0.06,koning_wimmer_witkovsky,8.837311693000536e-08,1.0
0.1,0.08,koning_wimmer_witkovsky,8.229045062918447e-08,1.0
0.1,0.1,koning_wimmer_witkovsky,,1.0
0.15,0.0,koning_wimmer_witkovsky,1.7280405030267892e-08,0.1
0.15,0.005,koning_wimmer_witkovsky,7.195730362769628e-08,1.0
0.15,0.01,koning_wimmer_witkovsky,8.011419879128778e-08,1.0
0.15,0.02,koning_wimmer_witkovsky,8.445317589269818e-08,1.0
0.15,0.03,koning_wimmer_witkovsky,8.611947197955455e-08,1.0
0.15,0.04,koning_wimmer_witkovsky,8.474181934829462e-08,1.0
0.15,0.05,koning_wimmer_witkovsky,9.033336704017325e-08,1.0
0.15,0.06,koning_wimmer_witkovsky,8.192450108045499e-08,1.0
0.15,0.08,koning_wimmer_witkovsky,7.444241044050637e-08,1.0
0.15,0.1,koning_wimmer_witkovsky,9.021639847185293e-08,1.0
0.25,0.0,koning_wimmer_witkovsky,4.6443831997222365e-10,0.0
0.25,0.005,koning_wimmer_witkovsky,2.4056394769115164e-08,0.58
0.25,0.01,koning_wimmer_witkovsky,3.390064378993275e-08,1.0
0.25,0.02,koning_wimmer_witkovsky,7.899897806379057e-08,1.0
0.25,0.03,koning_wimmer_witkovsky,7.186713274973215e-08,1.0
0.25,0.04,koning_wimmer_witkovsky,8.300978934510257e-08,1.0
0.25,0.05,koning_wimmer_witkovsky,8.578859643008388e-08,1.0
0.25,0.06,koning_wimmer_witkovsky,8.88131595274345e-08,1.0
0.25,0.08,koning_wimmer_witkovsky,9.124404545186321e-08,1.0
0.25,0.1,koning_wimmer_witkovsky,8.998564469803849e-08,1.0
0.35,0.0,koning_wimmer_witkovsky,7.518881942123901e-11,0.0
0.35,0.005,koning_wimmer_witkovsky,3.5709608482669405e-09,0.0
0.35,0.01,koning_wimmer_witkovsky,1.210974223027156e-08,0.02
0.35,0.02,koning_wimmer_witkovsky,2.352954874967734e-08,0.76
0.35,0.03,koning_wimmer_witkovsky,3.891801874375594e-08,1.0
0.35,0.04,koning_wimmer_witkovsky,6.457751312928598e-08,1.0
0.35,0.05,koning_wimmer_witkovsky,6.893914177735967e-08,1.0
0.35,0.06,koning_wimmer_witkovsky,7.009988240989803e-08,1.0
0.35,0.08,koning_wimmer_witkovsky,7.47710894683379e-08,1.0
0.35,0.1,koning_wimmer_witkovsky,7.489908301162028e-08,1.0
0.5,0.0,koning_wimmer_witkovsky,2.6657418507046232e-11,0.0
0.5,0.005,koning_wimmer_witkovsky,3.853972029918023e-10,0.0
0.5,0.01,koning_wimmer_witkovsky,8.238201902760676e-10,0.0
0.5,0.02,koning_wimmer_witkovsky,2.369318116169533e-09,0.0
0.5,0.03,koning_wimmer_witkovsky,4.9922342107542524e-09,0.0
0.5,0.04,koning_wimmer_witkovsky,9.400718525739309e-09,0.08
0.5,0.05,koning_wimmer_witkovsky,1.2400344235273244e-08,0.54
0.5,0.06,koning_wimmer_witkovsky,1.5781975788955452e-08,0.76
0.5,0.08,koning_wimmer_witkovsky,3.482160118924097e-08,0.96
0.5,0.1,koning_wimmer_witkovsky,5.3090672666355694e-08,1.0
0.75,0.0,koning_wimmer_witkovsky,1.8485310458552852e-11,0.0
0.75,0.005,koning_wimmer_witkovsky,2.6466180337802576e-10,0.0
0.75,0.01,koning_wimmer_witkovsky,5.22703464840546e-10,0.0
0.75,0.02,koning_wimmer_witkovsky,1.0655074437799544e-09,0.0
0.75,0.03,koning_wimmer_witkovsky,1.606448292012421e-09,0.0
0.75,0.04,koning_wimmer_witkovsky,2.20397441375691e-09,0.0
0.75,0.05,koning_wimmer_witkovsky,2.740071623545843e-09,0.0
0.75,0.06,koning_wimmer_witkovsky,3.305928398635026e-09,0.0
0.75,0.08,koning_wimmer_witkovsky,4.573093602660692e-09,0.0
0.75,0.1,koning_wimmer_witkovsky,6.066266376320068e-09,0.02
1.0,0.0,koning_wimmer_witkovsky,1.776026673471837e-11,0.0
1.0,0.005,koning_wimmer_witkovsky,2.48768363695184e-10,0.0
1.0,0.01,koning_wimmer_witkovsky,5.090904309351657e-10,0.0
1.0,0.02,koning_wimmer_witkovsky,1.0106119804987103e-09,0.0
1.0,0.03,koning_wimmer_witkovsky,1.5253184397732619e-09,0.0
1.0,0.04,koning_wimmer_witkovsky,2.001987229644265e-09,0.0
1.0,0.05,koning_wimmer_witkovsky,2.6047065072319846e-09,0.0
1.0,0.06,koning_wimmer_witkovsky,3.076294558636364e-09,0.0
1.0,0.08,koning_wimmer_witkovsky,4.2855821014398686e-09,0.0
1.0,0.1,koning_wimmer_witkovsky,5.544840053091715e-09,0.0
0.02,0.0,raw_atan2,6.514556999449506e-09,0.0
0.02,0.005,raw_atan2,6.517189876202387e-09,0.0
0.02,0.01,raw_atan2,6.521398685403954e-09,0.0
0.02,0.02,raw_atan2,6.554165984929166e-09,0.0
0.02,0.03,raw_atan2,6.736182448291209e-09,0.0
0.02,0.04,raw_atan2,6.816043394295729e-09,0.0
0.02,0.05,raw_atan2,6.8680748230890905e-09,0.0
0.02,0.06,raw_atan2,7.103639878230264e-09,0.0
0.02,0.08,raw_atan2,7.695967724897191e-09,0.0
0.02,0.1,raw_atan2,8.073357903357255e-09,0.0
0.05,0.0,raw_atan2,6.587116770646097e-09,0.0
0.05,0.005,raw_atan2,6.589833753932049e-09,0.0
0.05,0.01,raw_atan2,6.596785144919695e-09,0.0
0.05,0.02,raw_atan2,6.68639900996041e-09,0.0
0.05,0.03,raw_atan2,6.758042037595856e-09,0.0
0.05,0.04,raw_atan2,6.8940919804755075e-09,0.0
0.05,0.05,raw_atan2,6.985389032428549e-09,0.0
0.05,0.06,raw_atan2,7.181242397300685e-09,0.0
0.05,0.08,raw_atan2,7.564362134065e-09,0.0
0.05,0.1,raw_atan2,8.16726488021663e-09,0.0
0.1,0.0,raw_atan2,6.366606924652807e-09,0.0
0.1,0.005,raw_atan2,6.369098882170172e-09,0.0
0.1,0.01,raw_atan2,6.383674618285606e-09,0.0
0.1,0.02,raw_atan2,6.386984286547261e-09,0.0
0.1,0.03,raw_atan2,6.506829649792939e-09,0.0
0.1,0.04,raw_atan2,6.647660681165237e-09,0.0
0.1,0.05,raw_atan2,6.753246468609281e-09,0.0
0.1,0.06,raw_atan2,7.0409442425168994e-09,0.0
0.1,0.08,raw_atan2,7.432910307721529e-09,0.0
0.1,0.1,raw_atan2,7.859876549331536e-09,0.0
